epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.2065,4.26073,4.12121,3.0721,0.02811,0.0768,0.02416,0.00802,3.181,2.4548,1.86427,0.00332819,0.00332819,0.00332819
2,103.737,2.74797,2.41585,1.58408,0.19831,0.11256,0.06736,0.02879,2.39645,2.0042,1.35166,0.00664504,0.00664504,0.00664504
3,153.879,2.30648,2.02415,1.33057,0.16486,0.15557,0.10369,0.04904,2.02323,1.64437,1.19575,0.00994538,0.00994538,0.00994538
4,203.049,2.06726,1.79247,1.22493,0.1939,0.18156,0.13237,0.06707,1.84861,1.5194,1.12827,0.00992575,0.00992575,0.00992575
5,252.221,1.908,1.63944,1.16607,0.22932,0.18569,0.14984,0.07611,1.74588,1.40851,1.09108,0.009901,0.009901,0.009901
6,301.48,1.82352,1.5263,1.12998,0.26009,0.21459,0.17373,0.09146,1.6766,1.35236,1.06876,0.00987625,0.00987625,0.00987625
7,350.643,1.75645,1.45755,1.10901,0.27671,0.22603,0.19335,0.10388,1.60817,1.26152,1.05141,0.0098515,0.0098515,0.0098515
8,399.7,1.70849,1.39909,1.08687,0.32219,0.22911,0.2069,0.11098,1.5504,1.21384,1.03423,0.00982675,0.00982675,0.00982675
9,448.626,1.6681,1.35705,1.07674,0.30272,0.24735,0.21577,0.11613,1.53597,1.19042,1.0284,0.009802,0.009802,0.009802
10,497.512,1.63286,1.31225,1.06428,0.31669,0.245,0.22345,0.12145,1.51474,1.16963,1.02116,0.00977725,0.00977725,0.00977725
11,546.722,1.60149,1.27644,1.05454,0.33755,0.25375,0.23282,0.12819,1.4786,1.14047,1.00965,0.0097525,0.0097525,0.0097525
12,595.904,1.58358,1.25944,1.04764,0.37017,0.26135,0.24754,0.13549,1.47218,1.11511,1.01156,0.00972775,0.00972775,0.00972775
13,644.425,1.57413,1.24087,1.04363,0.35026,0.27141,0.2477,0.13704,1.47448,1.12593,1.01035,0.009703,0.009703,0.009703
14,693.791,1.54834,1.21183,1.03841,0.36044,0.27099,0.25469,0.1416,1.45597,1.10855,1.00096,0.00967825,0.00967825,0.00967825
15,742.799,1.52769,1.1973,1.03229,0.36803,0.27018,0.25652,0.14199,1.43616,1.07812,0.99512,0.0096535,0.0096535,0.0096535
16,791.57,1.50944,1.17588,1.02548,0.39671,0.28373,0.27558,0.15275,1.41087,1.06202,0.98907,0.00962875,0.00962875,0.00962875
17,840.464,1.5114,1.16187,1.02185,0.38273,0.28727,0.27785,0.15396,1.40303,1.04411,0.98662,0.009604,0.009604,0.009604
18,889.504,1.49135,1.14915,1.01861,0.37874,0.29652,0.28402,0.15765,1.39958,1.04558,0.98587,0.00957925,0.00957925,0.00957925
19,938.6,1.48255,1.14117,1.01564,0.39027,0.29308,0.28773,0.16041,1.38913,1.04198,0.98432,0.0095545,0.0095545,0.0095545
20,987.065,1.47071,1.12318,1.01314,0.40711,0.29302,0.28971,0.16405,1.37267,1.01866,0.97754,0.00952975,0.00952975,0.00952975
21,1036.02,1.46186,1.1137,1.0103,0.39256,0.29781,0.29177,0.16591,1.36278,1.019,0.97474,0.009505,0.009505,0.009505
22,1084.7,1.4518,1.10631,1.01126,0.40472,0.29673,0.2935,0.16657,1.36622,1.01103,0.97478,0.00948025,0.00948025,0.00948025
23,1133.47,1.44848,1.0934,1.00438,0.41091,0.3067,0.30182,0.17077,1.35415,0.99972,0.97259,0.0094555,0.0094555,0.0094555
24,1182.46,1.4443,1.0893,1.00252,0.40861,0.30554,0.30172,0.17229,1.35545,1.00531,0.97145,0.00943075,0.00943075,0.00943075
25,1231.22,1.42956,1.07652,1.00338,0.41171,0.31052,0.30398,0.17339,1.33813,0.9972,0.96817,0.009406,0.009406,0.009406
26,1279.93,1.4223,1.07289,0.99746,0.41059,0.31413,0.304,0.17427,1.33563,0.98968,0.96528,0.00938125,0.00938125,0.00938125
27,1328.99,1.42294,1.06563,0.99679,0.41989,0.31218,0.30905,0.17788,1.33405,0.98322,0.96328,0.0093565,0.0093565,0.0093565
28,1378.05,1.42041,1.06288,0.99626,0.427,0.31124,0.31192,0.17836,1.32267,0.97105,0.96313,0.00933175,0.00933175,0.00933175
29,1426.66,1.40885,1.05068,0.99528,0.42299,0.31601,0.31622,0.18212,1.31081,0.97543,0.96074,0.009307,0.009307,0.009307
30,1475.58,1.39918,1.04055,0.98988,0.42318,0.32322,0.31749,0.18219,1.3146,0.96444,0.95906,0.00928225,0.00928225,0.00928225
31,1524.66,1.39602,1.0442,0.9935,0.41072,0.32447,0.31628,0.18243,1.30492,0.96184,0.95851,0.0092575,0.0092575,0.0092575
32,1573.51,1.3851,1.02364,0.98795,0.42318,0.32347,0.31859,0.18435,1.30819,0.95657,0.96065,0.00923275,0.00923275,0.00923275
33,1622.62,1.38395,1.02531,0.98387,0.4367,0.32394,0.32711,0.18976,1.29537,0.94784,0.95409,0.009208,0.009208,0.009208
34,1671.02,1.38475,1.02165,0.9868,0.42453,0.32752,0.3251,0.18735,1.29568,0.95106,0.95468,0.00918325,0.00918325,0.00918325
35,1719.62,1.37335,1.01023,0.97947,0.43229,0.33283,0.32839,0.18856,1.28988,0.94061,0.95396,0.0091585,0.0091585,0.0091585
36,1768.1,1.36612,1.01203,0.98345,0.43398,0.32637,0.32184,0.1859,1.29179,0.94369,0.95254,0.00913375,0.00913375,0.00913375
37,1816.97,1.37184,1.00488,0.98089,0.45171,0.32546,0.33111,0.19204,1.28297,0.93747,0.95338,0.009109,0.009109,0.009109
38,1865.45,1.36217,1.00253,0.98028,0.45315,0.33086,0.33217,0.19324,1.28938,0.93487,0.95228,0.00908425,0.00908425,0.00908425
39,1914.44,1.35843,0.99238,0.98015,0.45897,0.32554,0.3349,0.19355,1.27929,0.92692,0.95026,0.0090595,0.0090595,0.0090595
40,1962.97,1.36074,0.99617,0.98149,0.44611,0.33361,0.333,0.19397,1.27509,0.92776,0.95017,0.00903475,0.00903475,0.00903475
41,2012.01,1.35603,0.99107,0.97737,0.44353,0.3389,0.33547,0.19466,1.2752,0.92128,0.95017,0.00901,0.00901,0.00901
42,2061.15,1.35167,0.98884,0.97502,0.44624,0.33716,0.33751,0.19642,1.27008,0.92024,0.94656,0.00898525,0.00898525,0.00898525
43,2109.57,1.34941,0.97998,0.97625,0.44205,0.34051,0.33812,0.19657,1.26753,0.91758,0.94704,0.0089605,0.0089605,0.0089605
44,2157.81,1.34568,0.98123,0.97372,0.45232,0.33684,0.34125,0.19848,1.26461,0.9119,0.94559,0.00893575,0.00893575,0.00893575
45,2206.59,1.3498,0.97679,0.97524,0.44935,0.33496,0.33895,0.19745,1.26299,0.91635,0.9461,0.008911,0.008911,0.008911
46,2255.18,1.33708,0.96789,0.9711,0.45242,0.34107,0.34554,0.20151,1.25951,0.90831,0.94328,0.00888625,0.00888625,0.00888625
47,2304.1,1.33282,0.96663,0.9711,0.44399,0.3382,0.33976,0.19826,1.259,0.91147,0.94429,0.0088615,0.0088615,0.0088615
48,2352.34,1.33896,0.97311,0.97161,0.44521,0.34362,0.34373,0.20055,1.25401,0.90556,0.94418,0.00883675,0.00883675,0.00883675
49,2400.77,1.33639,0.96772,0.96851,0.45599,0.34399,0.34607,0.20284,1.25384,0.90405,0.94387,0.008812,0.008812,0.008812
50,2449.65,1.33474,0.96698,0.97188,0.46782,0.3505,0.35165,0.20644,1.25118,0.90051,0.94335,0.00878725,0.00878725,0.00878725
51,2498.62,1.32767,0.95479,0.9709,0.45818,0.34315,0.34527,0.2029,1.24718,0.90271,0.94217,0.0087625,0.0087625,0.0087625
52,2547.57,1.32184,0.95058,0.97097,0.46351,0.34966,0.35204,0.20651,1.24474,0.89636,0.94005,0.00873775,0.00873775,0.00873775
53,2596.36,1.32295,0.94948,0.96816,0.46222,0.34705,0.35095,0.20458,1.24633,0.90019,0.94128,0.008713,0.008713,0.008713
54,2645.01,1.32425,0.95194,0.96921,0.46978,0.3438,0.35311,0.20717,1.2424,0.88971,0.94032,0.00868825,0.00868825,0.00868825
55,2694.05,1.31682,0.94698,0.96703,0.46952,0.34752,0.35187,0.20664,1.24301,0.89337,0.94062,0.0086635,0.0086635,0.0086635
56,2742.9,1.31209,0.9399,0.96513,0.47266,0.35037,0.35606,0.20935,1.23622,0.88874,0.93886,0.00863875,0.00863875,0.00863875
