epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.0849,3.84329,4.25808,3.44712,0.03292,0.06768,0.02652,0.00896,2.97837,2.85201,2.34526,0.00332819,0.00332819,0.00332819
2,150.854,2.69026,2.79099,2.0398,0.17442,0.13484,0.07318,0.03186,2.35097,2.31451,1.76117,0.00664504,0.00664504,0.00664504
3,224.983,2.32684,2.39103,1.70243,0.24961,0.14945,0.10599,0.05073,2.11152,1.97615,1.57184,0.00994538,0.00994538,0.00994538
4,296.22,2.10846,2.15086,1.5453,0.17503,0.17944,0.13702,0.07076,1.89696,1.81626,1.44004,0.00992575,0.00992575,0.00992575
5,366.813,1.9738,1.96737,1.45557,0.21719,0.19921,0.15927,0.08212,1.8169,1.68825,1.37286,0.009901,0.009901,0.009901
6,437.655,1.89624,1.83411,1.39882,0.27026,0.22614,0.18962,0.10157,1.74728,1.58851,1.33547,0.00987625,0.00987625,0.00987625
7,507.238,1.8327,1.73714,1.36338,0.27016,0.24286,0.2051,0.11116,1.68594,1.4839,1.30817,0.0098515,0.0098515,0.0098515
8,577.382,1.79212,1.66151,1.33449,0.28969,0.25185,0.21782,0.11799,1.65397,1.45835,1.28127,0.00982675,0.00982675,0.00982675
9,647.986,1.75674,1.60262,1.31364,0.32578,0.25957,0.22993,0.12534,1.64237,1.43988,1.27109,0.009802,0.009802,0.009802
10,717.719,1.72358,1.55021,1.29574,0.34498,0.26549,0.25183,0.13865,1.60163,1.381,1.25247,0.00977725,0.00977725,0.00977725
11,787.396,1.69741,1.50971,1.28014,0.36465,0.27911,0.26281,0.14727,1.57843,1.33844,1.24412,0.0097525,0.0097525,0.0097525
12,857.182,1.67749,1.47409,1.26693,0.37366,0.2873,0.27177,0.15054,1.56911,1.32538,1.23872,0.00972775,0.00972775,0.00972775
13,927.364,1.66932,1.45536,1.25838,0.36368,0.29673,0.27529,0.15682,1.54918,1.30153,1.21855,0.009703,0.009703,0.009703
14,997.23,1.64788,1.41974,1.24703,0.37088,0.30481,0.28652,0.16242,1.53023,1.27921,1.21095,0.00967825,0.00967825,0.00967825
15,1067.4,1.62705,1.39939,1.23877,0.39192,0.30998,0.29525,0.16712,1.51993,1.25527,1.20139,0.0096535,0.0096535,0.0096535
16,1137.13,1.61229,1.37832,1.22744,0.41517,0.31587,0.3049,0.17425,1.50917,1.24782,1.19658,0.00962875,0.00962875,0.00962875
17,1207.29,1.61298,1.3636,1.22194,0.41933,0.31687,0.31152,0.1763,1.50374,1.22903,1.18975,0.009604,0.009604,0.009604
18,1277,1.59396,1.34786,1.21504,0.39985,0.32087,0.31059,0.17815,1.50361,1.23197,1.1843,0.00957925,0.00957925,0.00957925
19,1346.62,1.5903,1.33387,1.20853,0.39988,0.33275,0.31719,0.18168,1.49641,1.22245,1.18449,0.0095545,0.0095545,0.0095545
20,1417.06,1.58992,1.33093,1.20619,0.42931,0.326,0.32034,0.1835,1.48557,1.22277,1.17178,0.00952975,0.00952975,0.00952975
21,1486.91,1.58263,1.32402,1.19578,0.44489,0.32473,0.32333,0.18748,1.48487,1.21343,1.17175,0.009505,0.009505,0.009505
22,1555.79,1.58176,1.32114,1.19582,0.4348,0.33233,0.33094,0.1915,1.48667,1.21146,1.16372,0.00948025,0.00948025,0.00948025
23,1624.79,1.58004,1.30869,1.18595,0.43788,0.33209,0.3306,0.1921,1.4785,1.2041,1.15409,0.0094555,0.0094555,0.0094555
24,1694.94,1.57906,1.30138,1.1786,0.4282,0.34153,0.33184,0.19315,1.4891,1.20766,1.15548,0.00943075,0.00943075,0.00943075
25,1763.77,1.56487,1.29031,1.179,0.43277,0.34226,0.33568,0.19623,1.47312,1.19707,1.15199,0.009406,0.009406,0.009406
26,1832.67,1.56014,1.28581,1.16905,0.4463,0.34206,0.33745,0.19768,1.46993,1.19229,1.14205,0.00938125,0.00938125,0.00938125
27,1901.03,1.55926,1.27627,1.1673,0.4619,0.337,0.34538,0.20346,1.46726,1.18875,1.14007,0.0093565,0.0093565,0.0093565
28,1969.95,1.55617,1.27031,1.1627,0.44603,0.35214,0.34882,0.20554,1.45495,1.16347,1.1383,0.00933175,0.00933175,0.00933175
29,2038.79,1.54806,1.25848,1.16001,0.4596,0.35006,0.35577,0.20948,1.44222,1.16333,1.12856,0.009307,0.009307,0.009307
30,2107.16,1.53137,1.2423,1.14946,0.46303,0.35787,0.35924,0.21193,1.44149,1.1563,1.1254,0.00928225,0.00928225,0.00928225
31,2176.55,1.53457,1.25389,1.1539,0.45888,0.35391,0.35494,0.20834,1.44306,1.15853,1.12544,0.0092575,0.0092575,0.0092575
32,2245.32,1.52443,1.22901,1.14709,0.46118,0.35969,0.36084,0.21264,1.44142,1.14778,1.12513,0.00923275,0.00923275,0.00923275
33,2314.99,1.52345,1.23094,1.1404,0.45625,0.36556,0.36435,0.21408,1.43313,1.14325,1.12121,0.009208,0.009208,0.009208
34,2383.39,1.52437,1.22437,1.14595,0.46621,0.35851,0.3643,0.2156,1.43065,1.13988,1.11968,0.00918325,0.00918325,0.00918325
35,2453.2,1.51561,1.21597,1.1342,0.4476,0.35767,0.36023,0.21327,1.43389,1.13988,1.11874,0.0091585,0.0091585,0.0091585
36,2521.94,1.50575,1.21288,1.13541,0.47024,0.35846,0.36556,0.21681,1.4223,1.12923,1.1132,0.00913375,0.00913375,0.00913375
37,2590.6,1.51079,1.20612,1.13416,0.46165,0.36099,0.36495,0.21574,1.42369,1.13472,1.11217,0.009109,0.009109,0.009109
38,2659.14,1.5029,1.20228,1.1303,0.46845,0.36682,0.37114,0.22066,1.41932,1.12039,1.11001,0.00908425,0.00908425,0.00908425
39,2727.97,1.4994,1.19242,1.12877,0.4608,0.36516,0.3684,0.21828,1.42225,1.12547,1.10875,0.0090595,0.0090595,0.0090595
40,2796.23,1.49927,1.19651,1.13004,0.47866,0.36327,0.36993,0.22079,1.41411,1.12185,1.10496,0.00903475,0.00903475,0.00903475
41,2864.89,1.49749,1.18941,1.12499,0.4702,0.37265,0.37463,0.2232,1.40985,1.11011,1.10324,0.00901,0.00901,0.00901
42,2933.33,1.49059,1.18449,1.12015,0.47722,0.36842,0.3761,0.22439,1.40728,1.11311,1.10061,0.00898525,0.00898525,0.00898525
43,3001.46,1.49161,1.17657,1.12054,0.46993,0.37996,0.38089,0.22637,1.40549,1.10576,1.10001,0.0089605,0.0089605,0.0089605
44,3070.64,1.48765,1.1776,1.11649,0.47354,0.37152,0.37725,0.22375,1.40259,1.10219,1.09981,0.00893575,0.00893575,0.00893575
45,3139.12,1.49221,1.17379,1.11697,0.47735,0.37145,0.37797,0.2244,1.40483,1.10053,1.09819,0.008911,0.008911,0.008911
46,3207.94,1.47865,1.16163,1.1121,0.4831,0.3726,0.3805,0.22667,1.39647,1.09679,1.0931,0.00888625,0.00888625,0.00888625
47,3277.14,1.47894,1.16146,1.11244,0.4722,0.37658,0.37732,0.22672,1.39794,1.09533,1.09617,0.0088615,0.0088615,0.0088615
48,3346.73,1.47941,1.16493,1.11095,0.47389,0.38152,0.38517,0.2313,1.39106,1.09211,1.09279,0.00883675,0.00883675,0.00883675
49,3415.84,1.47598,1.15849,1.10863,0.48258,0.38074,0.38663,0.23107,1.39529,1.08982,1.09174,0.008812,0.008812,0.008812
50,3485.29,1.47257,1.15672,1.10708,0.47391,0.38898,0.39047,0.23419,1.38703,1.08658,1.08884,0.00878725,0.00878725,0.00878725
51,3554.32,1.46675,1.1442,1.10734,0.50051,0.37867,0.3924,0.23534,1.3858,1.08164,1.08658,0.0087625,0.0087625,0.0087625
52,3623.77,1.46193,1.14052,1.10617,0.50325,0.37778,0.39449,0.23678,1.38853,1.08013,1.08796,0.00873775,0.00873775,0.00873775
53,3693.43,1.46895,1.14169,1.10468,0.48554,0.38221,0.39034,0.2334,1.38918,1.08355,1.088,0.008713,0.008713,0.008713
54,3762.63,1.46141,1.14017,1.1023,0.50295,0.37619,0.39355,0.23594,1.38519,1.0757,1.08475,0.00868825,0.00868825,0.00868825
55,3831.71,1.45942,1.13529,1.09927,0.49358,0.37732,0.39333,0.23637,1.38345,1.07508,1.0836,0.0086635,0.0086635,0.0086635
56,3899.91,1.45545,1.12924,1.09866,0.4859,0.38928,0.39423,0.23591,1.37954,1.06904,1.08217,0.00863875,0.00863875,0.00863875
57,3968.53,1.45097,1.12466,1.09697,0.49345,0.38187,0.39675,0.23719,1.37691,1.06652,1.08123,0.008614,0.008614,0.008614
58,4037.36,1.45247,1.12415,1.09641,0.49432,0.38857,0.39934,0.23973,1.37619,1.06605,1.07939,0.00858925,0.00858925,0.00858925
59,4106.62,1.45374,1.12054,1.09746,0.49847,0.38873,0.40068,0.23991,1.37414,1.06017,1.07741,0.0085645,0.0085645,0.0085645
60,4175.54,1.44802,1.12236,1.09247,0.49841,0.38927,0.40179,0.24156,1.37434,1.06117,1.07784,0.00853975,0.00853975,0.00853975
61,4244.42,1.45084,1.11919,1.09175,0.49581,0.38341,0.40065,0.2406,1.37181,1.05915,1.07688,0.008515,0.008515,0.008515
62,4313.56,1.44175,1.10733,1.0896,0.49673,0.39469,0.40445,0.24266,1.37054,1.05381,1.07411,0.00849025,0.00849025,0.00849025
