epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.3496,3.83982,4.26855,3.44812,0.03221,0.07296,0.02806,0.00969,2.91482,2.82147,2.32274,0.00332819,0.00332819,0.00332819
2,164.17,2.65997,2.77269,2.02431,0.05036,0.15067,0.06667,0.03062,2.35482,2.37057,1.74288,0.00664504,0.00664504,0.00664504
3,242.59,2.30809,2.38796,1.68698,0.13357,0.18489,0.10691,0.05224,2.07712,2.11876,1.56504,0.00994538,0.00994538,0.00994538
4,319.14,2.09258,2.12684,1.53411,0.19144,0.18686,0.14078,0.07242,1.9105,1.76864,1.44492,0.00992575,0.00992575,0.00992575
5,392.389,1.96496,1.95628,1.44946,0.21181,0.2121,0.15992,0.084,1.82054,1.66854,1.37329,0.009901,0.009901,0.009901
6,467.942,1.88516,1.8199,1.39157,0.26868,0.23745,0.19258,0.10417,1.74463,1.57663,1.33644,0.00987625,0.00987625,0.00987625
7,540.036,1.82228,1.7298,1.35798,0.27975,0.23673,0.20273,0.11077,1.69047,1.5249,1.30623,0.0098515,0.0098515,0.0098515
8,614.466,1.78314,1.65444,1.32909,0.29843,0.25008,0.22012,0.11985,1.661,1.45667,1.28688,0.00982675,0.00982675,0.00982675
9,688.335,1.74864,1.59709,1.30988,0.31066,0.26432,0.23086,0.12558,1.64543,1.42735,1.27951,0.009802,0.009802,0.009802
10,761.697,1.71489,1.5474,1.2914,0.32518,0.27524,0.249,0.13976,1.59654,1.37724,1.25554,0.00977725,0.00977725,0.00977725
11,834.735,1.68876,1.50502,1.27669,0.34681,0.2801,0.25753,0.14265,1.57608,1.33766,1.24688,0.0097525,0.0097525,0.0097525
12,906.519,1.67055,1.47615,1.26402,0.36782,0.30445,0.27664,0.15328,1.5666,1.31255,1.2366,0.00972775,0.00972775,0.00972775
13,977.82,1.66206,1.4529,1.25524,0.36783,0.29982,0.28041,0.15996,1.55079,1.31311,1.22034,0.009703,0.009703,0.009703
14,1049.07,1.64127,1.4177,1.24438,0.38036,0.30497,0.28675,0.16204,1.53373,1.27915,1.21237,0.00967825,0.00967825,0.00967825
15,1119.78,1.62021,1.39801,1.2355,0.37373,0.30944,0.29062,0.16554,1.51438,1.25842,1.19834,0.0096535,0.0096535,0.0096535
16,1190.2,1.60664,1.37949,1.22552,0.39297,0.30828,0.2927,0.16776,1.50886,1.25207,1.19201,0.00962875,0.00962875,0.00962875
17,1260.83,1.60865,1.36915,1.21859,0.41152,0.32083,0.31271,0.17843,1.50233,1.23539,1.18476,0.009604,0.009604,0.009604
18,1331.12,1.595,1.3534,1.2098,0.40967,0.3202,0.3128,0.18002,1.50856,1.24847,1.17801,0.00957925,0.00957925,0.00957925
19,1401.6,1.59574,1.3473,1.20243,0.40981,0.32498,0.31509,0.18169,1.50672,1.2322,1.17574,0.0095545,0.0095545,0.0095545
20,1472.12,1.59461,1.34139,1.19826,0.42546,0.33321,0.32595,0.18774,1.49412,1.21894,1.16295,0.00952975,0.00952975,0.00952975
21,1542.89,1.58378,1.32867,1.18579,0.4151,0.33166,0.32364,0.18894,1.4812,1.21376,1.15907,0.009505,0.009505,0.009505
22,1613.08,1.57792,1.32193,1.18707,0.42402,0.33928,0.32994,0.19234,1.48458,1.21171,1.15614,0.00948025,0.00948025,0.00948025
23,1683.82,1.57459,1.30739,1.17802,0.42682,0.3386,0.33535,0.1964,1.47288,1.19805,1.1478,0.0094555,0.0094555,0.0094555
24,1755.77,1.57175,1.29765,1.17081,0.42541,0.34408,0.33313,0.19286,1.48208,1.20771,1.14522,0.00943075,0.00943075,0.00943075
25,1826.77,1.55868,1.28498,1.17228,0.43028,0.34321,0.33609,0.19701,1.46653,1.19316,1.14116,0.009406,0.009406,0.009406
26,1897.1,1.55209,1.28159,1.16245,0.45806,0.34412,0.34413,0.20155,1.46134,1.18554,1.137,0.00938125,0.00938125,0.00938125
27,1967.41,1.55177,1.27163,1.16109,0.45022,0.34471,0.34592,0.20362,1.45517,1.1836,1.13107,0.0093565,0.0093565,0.0093565
28,2037.25,1.54906,1.26626,1.15779,0.44552,0.34917,0.35122,0.20532,1.45447,1.16486,1.13567,0.00933175,0.00933175,0.00933175
29,2107.57,1.54106,1.25481,1.15359,0.44915,0.35626,0.35338,0.20909,1.44453,1.16499,1.12513,0.009307,0.009307,0.009307
30,2178.08,1.52409,1.23745,1.1435,0.45509,0.35911,0.35833,0.21147,1.43578,1.15924,1.12099,0.00928225,0.00928225,0.00928225
31,2248.34,1.52682,1.24676,1.14885,0.45727,0.36199,0.35695,0.2089,1.44225,1.15712,1.12408,0.0092575,0.0092575,0.0092575
32,2318.43,1.51545,1.22481,1.14076,0.45266,0.36566,0.36205,0.21157,1.43428,1.14246,1.11993,0.00923275,0.00923275,0.00923275
33,2388.58,1.51579,1.22418,1.13593,0.45778,0.36638,0.36587,0.21526,1.43067,1.13766,1.11806,0.009208,0.009208,0.009208
34,2459.05,1.51887,1.21889,1.14063,0.46593,0.36083,0.36267,0.21544,1.42788,1.14118,1.11635,0.00918325,0.00918325,0.00918325
35,2528.99,1.50722,1.20822,1.12872,0.46692,0.36675,0.36671,0.21614,1.42837,1.13023,1.11293,0.0091585,0.0091585,0.0091585
36,2599.15,1.49809,1.20543,1.13051,0.46691,0.3685,0.36842,0.21802,1.42301,1.12835,1.11337,0.00913375,0.00913375,0.00913375
37,2669.04,1.5021,1.19799,1.12948,0.47023,0.36211,0.36775,0.21787,1.42279,1.12419,1.11024,0.009109,0.009109,0.009109
38,2739.05,1.49574,1.19392,1.12563,0.47035,0.37269,0.37371,0.21976,1.41838,1.11863,1.10589,0.00908425,0.00908425,0.00908425
39,2809.45,1.49043,1.18347,1.12317,0.47267,0.3729,0.37398,0.22017,1.42186,1.12204,1.10631,0.0090595,0.0090595,0.0090595
40,2879.93,1.49194,1.1896,1.12529,0.47793,0.37211,0.37718,0.22421,1.41096,1.11137,1.10214,0.00903475,0.00903475,0.00903475
41,2949.78,1.49,1.1824,1.1204,0.48055,0.37396,0.3823,0.22624,1.4073,1.10269,1.101,0.00901,0.00901,0.00901
42,3020.03,1.48277,1.17623,1.11475,0.48879,0.37157,0.38175,0.22748,1.41003,1.10456,1.10049,0.00898525,0.00898525,0.00898525
43,3089.9,1.482,1.16892,1.11545,0.47359,0.38066,0.38263,0.22766,1.40155,1.09903,1.0965,0.0089605,0.0089605,0.0089605
44,3160.45,1.47905,1.16922,1.11199,0.48271,0.37679,0.38238,0.2276,1.39944,1.09998,1.09597,0.00893575,0.00893575,0.00893575
45,3231.11,1.48206,1.16502,1.11187,0.47297,0.38331,0.38446,0.22804,1.40275,1.09504,1.09571,0.008911,0.008911,0.008911
46,3301.6,1.46931,1.15093,1.10736,0.47999,0.38338,0.3872,0.22958,1.39586,1.09014,1.09366,0.00888625,0.00888625,0.00888625
47,3372.08,1.46891,1.15255,1.10654,0.48984,0.37738,0.38587,0.22929,1.39458,1.09355,1.09314,0.0088615,0.0088615,0.0088615
48,3442.45,1.47221,1.15786,1.10695,0.48311,0.37931,0.38846,0.23063,1.39209,1.08659,1.0905,0.00883675,0.00883675,0.00883675
49,3513.09,1.46849,1.15077,1.10388,0.48305,0.37864,0.38924,0.23136,1.39277,1.08589,1.08991,0.008812,0.008812,0.008812
50,3583.17,1.46507,1.14853,1.10313,0.50159,0.38936,0.39546,0.2357,1.38902,1.07989,1.08719,0.00878725,0.00878725,0.00878725
51,3652.99,1.45856,1.13584,1.10302,0.49661,0.38568,0.3949,0.23623,1.38213,1.07691,1.08403,0.0087625,0.0087625,0.0087625
52,3723.46,1.45342,1.13356,1.10099,0.49222,0.39078,0.39593,0.23704,1.3829,1.07361,1.08285,0.00873775,0.00873775,0.00873775
53,3793.66,1.45968,1.13391,1.09993,0.49635,0.38952,0.39729,0.23621,1.38698,1.07281,1.08385,0.008713,0.008713,0.008713
54,3863.38,1.45477,1.13367,1.09879,0.50383,0.39064,0.40063,0.23807,1.38114,1.0687,1.08179,0.00868825,0.00868825,0.00868825
55,3933.67,1.45182,1.12807,1.09489,0.50657,0.38223,0.39689,0.23626,1.37805,1.06762,1.08002,0.0086635,0.0086635,0.0086635
56,4003.8,1.44545,1.11806,1.09416,0.50766,0.38967,0.40067,0.23888,1.37816,1.06288,1.08063,0.00863875,0.00863875,0.00863875
57,4074.35,1.44098,1.11464,1.09193,0.49728,0.39353,0.39998,0.2391,1.37643,1.06419,1.07875,0.008614,0.008614,0.008614
58,4144.28,1.44521,1.11408,1.09234,0.50133,0.39063,0.4024,0.23883,1.37565,1.06064,1.07672,0.00858925,0.00858925,0.00858925
59,4214.78,1.44372,1.11228,1.09285,0.50734,0.38782,0.40176,0.24,1.37429,1.05888,1.07704,0.0085645,0.0085645,0.0085645
60,4285.01,1.43892,1.11231,1.08869,0.49504,0.39715,0.40537,0.24287,1.37189,1.05564,1.0745,0.00853975,0.00853975,0.00853975
61,4355.47,1.44247,1.11139,1.08824,0.49572,0.39875,0.40741,0.24366,1.37106,1.05298,1.07399,0.008515,0.008515,0.008515
62,4425.97,1.43242,1.0984,1.08582,0.5061,0.39697,0.40882,0.24468,1.3681,1.0491,1.07265,0.00849025,0.00849025,0.00849025
63,4495.73,1.43002,1.09835,1.08381,0.50739,0.39683,0.40727,0.24432,1.37028,1.05127,1.07304,0.0084655,0.0084655,0.0084655
64,4565.71,1.44045,1.10282,1.08497,0.49953,0.39843,0.40821,0.24455,1.36818,1.05041,1.07096,0.00844075,0.00844075,0.00844075
65,4635.31,1.43171,1.09944,1.08126,0.50645,0.40206,0.41047,0.24619,1.36541,1.04587,1.06957,0.008416,0.008416,0.008416
66,4704.84,1.43338,1.09841,1.08259,0.49849,0.40047,0.41043,0.2471,1.36313,1.04404,1.06849,0.00839125,0.00839125,0.00839125
67,4774.86,1.42849,1.09229,1.07931,0.5143,0.39747,0.41304,0.24736,1.36309,1.04261,1.06829,0.0083665,0.0083665,0.0083665
68,4844.76,1.42023,1.084,1.07766,0.51687,0.39834,0.41353,0.24827,1.36328,1.04207,1.06683,0.00834175,0.00834175,0.00834175
69,4914.92,1.42264,1.08643,1.07796,0.51932,0.40079,0.41575,0.24946,1.36035,1.03731,1.06504,0.008317,0.008317,0.008317
70,4985.29,1.4213,1.08259,1.07596,0.51656,0.40106,0.41529,0.24897,1.36049,1.04037,1.06502,0.00829225,0.00829225,0.00829225
71,5055.44,1.42413,1.08233,1.07489,0.51625,0.40257,0.41654,0.24905,1.3592,1.03455,1.0639,0.0082675,0.0082675,0.0082675
72,5124.79,1.42343,1.08416,1.07418,0.50571,0.4092,0.41754,0.24934,1.35809,1.03414,1.06404,0.00824275,0.00824275,0.00824275
73,5194.76,1.41564,1.07574,1.07468,0.51503,0.40456,0.4159,0.24851,1.3569,1.0327,1.06247,0.008218,0.008218,0.008218
74,5264.77,1.41639,1.07549,1.07077,0.51182,0.4102,0.41809,0.25027,1.35515,1.03103,1.06117,0.00819325,0.00819325,0.00819325
75,5334.63,1.41041,1.06979,1.06665,0.52509,0.403,0.41945,0.2516,1.35275,1.02716,1.06077,0.0081685,0.0081685,0.0081685
76,5404.97,1.40911,1.06649,1.06663,0.51789,0.4036,0.41778,0.25118,1.35132,1.02665,1.05915,0.00814375,0.00814375,0.00814375
77,5475.34,1.4117,1.06727,1.06811,0.51927,0.40817,0.41875,0.25269,1.35073,1.02388,1.05858,0.008119,0.008119,0.008119
78,5545.61,1.41091,1.06561,1.06902,0.50753,0.41297,0.42027,0.25316,1.35215,1.02285,1.05877,0.00809425,0.00809425,0.00809425
79,5615.67,1.40722,1.06251,1.06899,0.51695,0.41259,0.42208,0.25449,1.35237,1.02351,1.05797,0.0080695,0.0080695,0.0080695
80,5685.93,1.40822,1.06193,1.06419,0.52201,0.40845,0.42017,0.2532,1.34988,1.0225,1.05704,0.00804475,0.00804475,0.00804475
81,5756.25,1.40839,1.06048,1.06425,0.52139,0.41339,0.42178,0.25442,1.35006,1.02338,1.05676,0.00802,0.00802,0.00802
82,5826.01,1.40356,1.05594,1.06309,0.52198,0.41109,0.42336,0.25546,1.34872,1.02127,1.05584,0.00799525,0.00799525,0.00799525
83,5896.35,1.40442,1.05372,1.06156,0.52404,0.40781,0.42525,0.25616,1.3502,1.0188,1.05551,0.0079705,0.0079705,0.0079705
84,5966.15,1.40462,1.05809,1.0608,0.51935,0.41086,0.42573,0.25648,1.34839,1.01702,1.05412,0.00794575,0.00794575,0.00794575
85,6036.18,1.3992,1.04997,1.06092,0.51971,0.41269,0.42598,0.25695,1.34734,1.01671,1.05339,0.007921,0.007921,0.007921
