epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.4552,3.82012,4.1411,3.38839,0.04044,0.07716,0.03275,0.01192,2.91548,2.8009,2.27991,0.00332819,0.00332819,0.00332819
2,159.184,2.65798,2.75126,2.01276,0.07813,0.12259,0.06967,0.02994,2.47874,2.28114,1.79708,0.00664504,0.00664504,0.00664504
3,237.137,2.33063,2.39155,1.71577,0.14222,0.19298,0.11164,0.05493,2.05317,2.04608,1.57608,0.00994538,0.00994538,0.00994538
4,314.257,2.11726,2.13896,1.56791,0.17939,0.18313,0.13958,0.07182,1.91413,1.76651,1.45852,0.00992575,0.00992575,0.00992575
5,389.693,1.98508,1.96006,1.47929,0.20352,0.1947,0.15389,0.08063,1.83496,1.67679,1.4016,0.009901,0.009901,0.009901
6,466.019,1.90108,1.82205,1.41663,0.24875,0.2279,0.18677,0.09955,1.75214,1.59786,1.35305,0.00987625,0.00987625,0.00987625
7,539.854,1.83662,1.73337,1.38052,0.2705,0.24075,0.20605,0.10992,1.69693,1.476,1.3226,0.0098515,0.0098515,0.0098515
8,614.336,1.79411,1.65949,1.34817,0.2981,0.24985,0.21927,0.12027,1.65559,1.43266,1.29569,0.00982675,0.00982675,0.00982675
9,688.796,1.75926,1.60408,1.32771,0.32571,0.25895,0.23388,0.12899,1.63848,1.42282,1.28299,0.009802,0.009802,0.009802
10,763.897,1.72594,1.5538,1.3101,0.32864,0.2669,0.25049,0.13948,1.59217,1.37898,1.26906,0.00977725,0.00977725,0.00977725
11,838.245,1.69816,1.51343,1.29358,0.34707,0.27527,0.2577,0.14471,1.57718,1.34287,1.25387,0.0097525,0.0097525,0.0097525
12,912.518,1.67857,1.47881,1.28068,0.36244,0.29337,0.2734,0.15058,1.56452,1.3134,1.2495,0.00972775,0.00972775,0.00972775
13,987.241,1.67188,1.4618,1.27341,0.38667,0.29492,0.27829,0.15778,1.56225,1.30973,1.23953,0.009703,0.009703,0.009703
14,1061.36,1.64967,1.42469,1.26104,0.36676,0.30294,0.28452,0.16156,1.54886,1.29799,1.22984,0.00967825,0.00967825,0.00967825
15,1136.06,1.6287,1.40377,1.25347,0.39281,0.30655,0.29152,0.16567,1.51748,1.25974,1.21468,0.0096535,0.0096535,0.0096535
16,1210.3,1.61221,1.38017,1.24194,0.38946,0.31716,0.30099,0.17171,1.50255,1.24193,1.20708,0.00962875,0.00962875,0.00962875
17,1284.32,1.6125,1.36527,1.23559,0.39127,0.31801,0.30615,0.17398,1.50044,1.238,1.20278,0.009604,0.009604,0.009604
18,1358.68,1.59359,1.34674,1.22884,0.38157,0.32738,0.30875,0.17463,1.50323,1.23652,1.20003,0.00957925,0.00957925,0.00957925
19,1433.05,1.58607,1.33209,1.22157,0.39608,0.32757,0.3132,0.18001,1.48781,1.2173,1.195,0.0095545,0.0095545,0.0095545
20,1507.38,1.57799,1.32033,1.2198,0.42243,0.32935,0.32276,0.18543,1.47228,1.1927,1.18349,0.00952975,0.00952975,0.00952975
21,1581.82,1.5653,1.30752,1.20963,0.41755,0.33523,0.32756,0.18869,1.45901,1.19006,1.18171,0.009505,0.009505,0.009505
22,1656.29,1.56099,1.30121,1.21287,0.4283,0.33477,0.32622,0.18787,1.4702,1.19995,1.1813,0.00948025,0.00948025,0.00948025
23,1730.28,1.55847,1.28633,1.20292,0.43184,0.34802,0.33786,0.19557,1.45583,1.17448,1.17259,0.0094555,0.0094555,0.0094555
24,1805.12,1.561,1.28516,1.19691,0.41989,0.34795,0.3329,0.19139,1.473,1.195,1.17089,0.00943075,0.00943075,0.00943075
25,1879.35,1.557,1.28124,1.19666,0.43,0.35183,0.34009,0.19814,1.46245,1.18728,1.16241,0.009406,0.009406,0.009406
26,1954.88,1.55477,1.28211,1.18518,0.43739,0.35027,0.34333,0.19953,1.46615,1.1917,1.15391,0.00938125,0.00938125,0.00938125
27,2029.17,1.55429,1.27428,1.18116,0.44667,0.342,0.3417,0.20087,1.45931,1.18373,1.14987,0.0093565,0.0093565,0.0093565
28,2103.83,1.55525,1.27147,1.17778,0.44644,0.35111,0.34749,0.20326,1.45365,1.16869,1.14746,0.00933175,0.00933175,0.00933175
29,2178.23,1.54732,1.25986,1.17257,0.45733,0.34345,0.3497,0.2043,1.45157,1.17639,1.14338,0.009307,0.009307,0.009307
30,2252.92,1.52967,1.24272,1.16204,0.458,0.34936,0.35478,0.20708,1.44413,1.16313,1.13669,0.00928225,0.00928225,0.00928225
31,2327.93,1.5337,1.25074,1.1662,0.4684,0.34719,0.35501,0.20787,1.4429,1.15275,1.13585,0.0092575,0.0092575,0.0092575
32,2402.08,1.52141,1.2311,1.1579,0.44816,0.35895,0.35979,0.21019,1.4461,1.14935,1.13773,0.00923275,0.00923275,0.00923275
33,2476.04,1.52189,1.23185,1.15151,0.44733,0.35717,0.35992,0.21182,1.43405,1.14449,1.13045,0.009208,0.009208,0.009208
34,2550.21,1.52356,1.22394,1.15735,0.46046,0.35894,0.36427,0.21351,1.43263,1.14261,1.13033,0.00918325,0.00918325,0.00918325
35,2625.12,1.51353,1.21378,1.14482,0.46185,0.36327,0.36391,0.21566,1.42941,1.13449,1.12549,0.0091585,0.0091585,0.0091585
36,2699.46,1.50283,1.21027,1.14616,0.46864,0.36306,0.3638,0.21513,1.42445,1.13133,1.12471,0.00913375,0.00913375,0.00913375
37,2773.87,1.50842,1.20546,1.14479,0.46272,0.35764,0.36446,0.21607,1.41884,1.12481,1.12,0.009109,0.009109,0.009109
38,2847.58,1.50184,1.20037,1.14145,0.47148,0.36639,0.37482,0.22111,1.41982,1.12056,1.11956,0.00908425,0.00908425,0.00908425
39,2921.76,1.4968,1.19015,1.13915,0.46925,0.36591,0.36792,0.21654,1.42207,1.12162,1.11845,0.0090595,0.0090595,0.0090595
40,2995.86,1.49837,1.19548,1.14145,0.47888,0.36885,0.3771,0.22377,1.40975,1.11181,1.11187,0.00903475,0.00903475,0.00903475
41,3069.77,1.4961,1.18981,1.136,0.46796,0.37435,0.38015,0.22533,1.40834,1.10684,1.11382,0.00901,0.00901,0.00901
42,3144.65,1.48944,1.18337,1.13169,0.46836,0.37705,0.37756,0.22355,1.41265,1.10961,1.1127,0.00898525,0.00898525,0.00898525
43,3218.65,1.48889,1.1737,1.13117,0.4629,0.37677,0.38243,0.22706,1.40627,1.10234,1.11077,0.0089605,0.0089605,0.0089605
44,3292.56,1.48531,1.17585,1.12771,0.46534,0.38199,0.37864,0.22388,1.40633,1.10639,1.11082,0.00893575,0.00893575,0.00893575
45,3367.16,1.48981,1.17114,1.12833,0.47625,0.382,0.38116,0.22585,1.40678,1.09826,1.11087,0.008911,0.008911,0.008911
46,3442,1.47543,1.15842,1.12333,0.47588,0.374,0.38388,0.22761,1.40424,1.09547,1.10697,0.00888625,0.00888625,0.00888625
47,3515.98,1.47455,1.16055,1.12316,0.46819,0.38701,0.38562,0.22882,1.3986,1.09355,1.10483,0.0088615,0.0088615,0.0088615
48,3590.68,1.47641,1.16256,1.1219,0.47152,0.38401,0.38906,0.23205,1.39391,1.08751,1.10277,0.00883675,0.00883675,0.00883675
49,3665.21,1.47307,1.15861,1.11914,0.47418,0.3804,0.38619,0.22935,1.39971,1.08932,1.10381,0.008812,0.008812,0.008812
50,3739.14,1.47143,1.15646,1.11943,0.48552,0.38084,0.39178,0.23342,1.39245,1.08731,1.10079,0.00878725,0.00878725,0.00878725
51,3813.05,1.46438,1.14143,1.1192,0.47909,0.38754,0.3913,0.23296,1.38781,1.08304,1.09741,0.0087625,0.0087625,0.0087625
