epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.1748,3.78364,4.10424,3.34137,0.03531,0.08003,0.03099,0.01067,2.91141,2.80907,2.31728,0.00332819,0.00332819,0.00332819
2,186.122,2.66449,2.74034,2.03909,0.0942,0.1183,0.07154,0.0312,2.38414,2.26737,1.80945,0.00664504,0.00664504,0.00664504
3,276.049,2.33516,2.37907,1.72699,0.10915,0.19937,0.10108,0.0497,2.12207,2.11449,1.61344,0.00994538,0.00994538,0.00994538
4,364.264,2.11764,2.12846,1.57229,0.2154,0.17949,0.13761,0.06937,1.94696,1.78272,1.47738,0.00992575,0.00992575,0.00992575
5,451.867,1.97991,1.94307,1.48016,0.20985,0.20544,0.16105,0.0838,1.83025,1.66461,1.40147,0.009901,0.009901,0.009901
6,539.603,1.89898,1.80902,1.41941,0.25804,0.22285,0.18476,0.10001,1.74643,1.58014,1.35259,0.00987625,0.00987625,0.00987625
7,626.925,1.8332,1.72589,1.38263,0.28016,0.23853,0.20648,0.11209,1.71218,1.49716,1.33014,0.0098515,0.0098515,0.0098515
8,715.596,1.7888,1.65291,1.34923,0.31278,0.24683,0.21629,0.11925,1.65845,1.46751,1.30058,0.00982675,0.00982675,0.00982675
9,802.638,1.75373,1.59604,1.3289,0.32172,0.25937,0.22787,0.12386,1.65131,1.42024,1.29745,0.009802,0.009802,0.009802
10,890.699,1.71904,1.54554,1.31052,0.3398,0.27206,0.24887,0.13698,1.60261,1.36167,1.27296,0.00977725,0.00977725,0.00977725
11,977.205,1.69294,1.50753,1.29534,0.37624,0.27521,0.25596,0.14336,1.56803,1.33169,1.25809,0.0097525,0.0097525,0.0097525
12,1063.42,1.6722,1.47225,1.28172,0.36537,0.29368,0.27346,0.15269,1.56957,1.3065,1.25332,0.00972775,0.00972775,0.00972775
13,1150.6,1.66427,1.45129,1.27363,0.35994,0.29857,0.27757,0.15779,1.54406,1.30192,1.2364,0.009703,0.009703,0.009703
14,1237.62,1.64167,1.41715,1.26172,0.37793,0.30837,0.28528,0.16224,1.53563,1.28069,1.22859,0.00967825,0.00967825,0.00967825
15,1324.32,1.62177,1.39592,1.25442,0.3938,0.3073,0.29251,0.1665,1.51526,1.25631,1.22053,0.0096535,0.0096535,0.0096535
16,1411.01,1.60626,1.37072,1.24408,0.39132,0.3243,0.30366,0.17487,1.50511,1.23782,1.21342,0.00962875,0.00962875,0.00962875
17,1498.21,1.60624,1.35764,1.23706,0.41013,0.31695,0.30858,0.17727,1.49942,1.22437,1.20927,0.009604,0.009604,0.009604
18,1585.08,1.58619,1.33694,1.23044,0.4053,0.31683,0.31304,0.18081,1.48599,1.22504,1.19929,0.00957925,0.00957925,0.00957925
19,1671.36,1.57911,1.32408,1.22324,0.40767,0.32606,0.31797,0.18368,1.48341,1.20426,1.19783,0.0095545,0.0095545,0.0095545
20,1758.2,1.57205,1.31166,1.22202,0.41582,0.32761,0.31879,0.18492,1.47523,1.20382,1.18952,0.00952975,0.00952975,0.00952975
21,1844.99,1.55796,1.2954,1.21153,0.42421,0.33569,0.33262,0.19184,1.45505,1.17932,1.18419,0.009505,0.009505,0.009505
22,1931.27,1.55192,1.28725,1.21398,0.43737,0.32862,0.33064,0.19132,1.45888,1.17524,1.18249,0.00948025,0.00948025,0.00948025
