epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.5511,3.69506,4.01404,3.22117,0.04578,0.08491,0.04001,0.01513,2.80768,2.77682,2.22563,0.00332819,0.00332819,0.00332819
2,198.403,2.60441,2.68189,1.9761,0.0803,0.14509,0.07643,0.03439,2.29009,2.20631,1.72799,0.00664504,0.00664504,0.00664504
3,292.617,2.31673,2.3638,1.70732,0.22272,0.14804,0.10184,0.05075,2.06771,1.93855,1.57657,0.00994538,0.00994538,0.00994538
4,386.701,2.11203,2.11363,1.55543,0.30253,0.17786,0.13944,0.073,1.9024,1.75224,1.44824,0.00992575,0.00992575,0.00992575
5,479.09,1.97139,1.92922,1.4607,0.18772,0.19739,0.14959,0.07853,1.84761,1.66759,1.3953,0.009901,0.009901,0.009901
6,573.291,1.8855,1.79214,1.40151,0.28417,0.24029,0.19589,0.10532,1.75226,1.5693,1.3406,0.00987625,0.00987625,0.00987625
7,665.114,1.824,1.70886,1.3665,0.25902,0.23137,0.1985,0.10833,1.72116,1.51456,1.32281,0.0098515,0.0098515,0.0098515
8,757.632,1.78259,1.63901,1.3352,0.31022,0.25036,0.2213,0.12413,1.64018,1.42615,1.28067,0.00982675,0.00982675,0.00982675
9,849.694,1.74485,1.58325,1.31507,0.32402,0.25182,0.22465,0.12304,1.63761,1.41121,1.2766,0.009802,0.009802,0.009802
10,941.778,1.70996,1.53095,1.29611,0.32371,0.27094,0.24771,0.13816,1.59234,1.36495,1.25529,0.00977725,0.00977725,0.00977725
11,1034.15,1.68468,1.48924,1.28115,0.34759,0.28063,0.26088,0.14491,1.5657,1.33107,1.24257,0.0097525,0.0097525,0.0097525
12,1127.27,1.66594,1.46107,1.26854,0.35908,0.28503,0.27057,0.1507,1.56899,1.31739,1.241,0.00972775,0.00972775,0.00972775
13,1220.46,1.65925,1.44227,1.26054,0.37716,0.29638,0.27861,0.15793,1.53909,1.29549,1.22482,0.009703,0.009703,0.009703
14,1312.32,1.63476,1.40624,1.24738,0.37188,0.29679,0.28343,0.16127,1.53437,1.27895,1.21607,0.00967825,0.00967825,0.00967825
15,1405.5,1.61516,1.38615,1.24062,0.37604,0.3167,0.29211,0.16625,1.51497,1.25749,1.20614,0.0096535,0.0096535,0.0096535
16,1497.75,1.60058,1.36395,1.22821,0.38984,0.31393,0.29843,0.17077,1.49678,1.24111,1.19584,0.00962875,0.00962875,0.00962875
17,1589.72,1.60121,1.35222,1.22285,0.40092,0.3221,0.3103,0.17662,1.50248,1.23288,1.19375,0.009604,0.009604,0.009604
18,1681.66,1.58416,1.33564,1.21503,0.38994,0.32233,0.30813,0.17572,1.49646,1.23635,1.18467,0.00957925,0.00957925,0.00957925
19,1773.96,1.58728,1.33138,1.20751,0.41458,0.32552,0.31757,0.18374,1.49128,1.23179,1.18302,0.0095545,0.0095545,0.0095545
20,1866.3,1.58598,1.32682,1.20264,0.42958,0.32848,0.32584,0.18812,1.48395,1.22038,1.16485,0.00952975,0.00952975,0.00952975
21,1958.65,1.57816,1.3174,1.19133,0.4217,0.33684,0.32967,0.19318,1.4738,1.20587,1.16188,0.009505,0.009505,0.009505
22,2050.79,1.57142,1.31176,1.1901,0.43419,0.32867,0.33073,0.19232,1.47714,1.21583,1.15907,0.00948025,0.00948025,0.00948025
23,2143.17,1.57056,1.29713,1.18165,0.4309,0.33974,0.33219,0.19413,1.47117,1.19559,1.15262,0.0094555,0.0094555,0.0094555
24,2235.65,1.56715,1.28916,1.17414,0.44373,0.33693,0.33458,0.19583,1.48538,1.20571,1.15635,0.00943075,0.00943075,0.00943075
25,2328.22,1.55347,1.27891,1.17516,0.42493,0.34437,0.33524,0.19702,1.46337,1.19388,1.14375,0.009406,0.009406,0.009406
26,2421.55,1.54638,1.27176,1.16556,0.43641,0.34304,0.3403,0.19969,1.45562,1.17702,1.14045,0.00938125,0.00938125,0.00938125
27,2513.69,1.5461,1.26449,1.16463,0.4459,0.34097,0.34379,0.20356,1.44565,1.17671,1.13519,0.0093565,0.0093565,0.0093565
28,2605.4,1.54616,1.2584,1.16172,0.44798,0.35744,0.3479,0.20413,1.44665,1.16311,1.13806,0.00933175,0.00933175,0.00933175
29,2698.02,1.53735,1.24691,1.1579,0.4435,0.34283,0.34604,0.20382,1.43833,1.16617,1.12879,0.009307,0.009307,0.009307
30,2790.88,1.52027,1.23205,1.14716,0.4558,0.34981,0.35161,0.20692,1.43104,1.15667,1.12419,0.00928225,0.00928225,0.00928225
31,2883.27,1.52011,1.23586,1.15137,0.45091,0.35626,0.35244,0.20666,1.43345,1.15109,1.12418,0.0092575,0.0092575,0.0092575
32,2975.58,1.5118,1.21439,1.14452,0.45811,0.36767,0.3623,0.21338,1.42214,1.14434,1.12123,0.00923275,0.00923275,0.00923275
33,3068.19,1.5113,1.21634,1.13859,0.46215,0.36552,0.36651,0.21648,1.42089,1.13376,1.11632,0.009208,0.009208,0.009208
34,3160.35,1.51141,1.20947,1.14326,0.45583,0.35853,0.36118,0.21386,1.41522,1.13758,1.11538,0.00918325,0.00918325,0.00918325
35,3252.65,1.50092,1.19686,1.13129,0.46359,0.36307,0.36682,0.21681,1.42047,1.12772,1.1126,0.0091585,0.0091585,0.0091585
36,3344.73,1.49258,1.19745,1.13344,0.46524,0.36392,0.36762,0.21909,1.41165,1.11982,1.11225,0.00913375,0.00913375,0.00913375
37,3436.88,1.49823,1.19236,1.13194,0.46044,0.36278,0.36813,0.21942,1.41068,1.12089,1.10853,0.009109,0.009109,0.009109
38,3529.51,1.48843,1.185,1.12707,0.48043,0.37019,0.37559,0.22275,1.40434,1.11335,1.10549,0.00908425,0.00908425,0.00908425
39,3621.65,1.48647,1.17614,1.12558,0.46475,0.36894,0.37265,0.22043,1.40762,1.11107,1.10463,0.0090595,0.0090595,0.0090595
40,3713.7,1.48586,1.17949,1.12703,0.46612,0.37667,0.37674,0.22462,1.39856,1.10599,1.10092,0.00903475,0.00903475,0.00903475
41,3806.14,1.4833,1.17304,1.12168,0.48225,0.37466,0.38004,0.22586,1.39655,1.10218,1.09725,0.00901,0.00901,0.00901
42,3898.76,1.47628,1.16787,1.11672,0.47684,0.37601,0.38091,0.22716,1.39973,1.09987,1.09834,0.00898525,0.00898525,0.00898525
43,3990.84,1.47708,1.15985,1.11691,0.47376,0.38054,0.38437,0.22839,1.38873,1.09163,1.09307,0.0089605,0.0089605,0.0089605
44,4083.02,1.47352,1.16108,1.11402,0.47871,0.37641,0.38265,0.22834,1.39154,1.09565,1.09598,0.00893575,0.00893575,0.00893575
45,4175.49,1.47716,1.15635,1.11401,0.48281,0.37656,0.38257,0.22762,1.3892,1.08896,1.09364,0.008911,0.008911,0.008911
46,4267.88,1.46478,1.1424,1.10992,0.47957,0.37953,0.38673,0.22962,1.38566,1.091,1.0912,0.00888625,0.00888625,0.00888625
47,4360.32,1.46246,1.14423,1.10869,0.4957,0.37304,0.38419,0.22981,1.38295,1.08832,1.09144,0.0088615,0.0088615,0.0088615
48,4453.12,1.46514,1.14711,1.1083,0.48571,0.38047,0.39157,0.23343,1.37858,1.08168,1.0878,0.00883675,0.00883675,0.00883675
49,4545.81,1.46152,1.14106,1.10506,0.4831,0.38517,0.39151,0.23342,1.38225,1.07836,1.0887,0.008812,0.008812,0.008812
50,4638.1,1.4588,1.13922,1.10427,0.49731,0.38669,0.39466,0.23497,1.37788,1.07574,1.08611,0.00878725,0.00878725,0.00878725
51,4730.17,1.45305,1.12591,1.10394,0.49271,0.38028,0.3918,0.23345,1.37303,1.07073,1.08226,0.0087625,0.0087625,0.0087625
52,4822.01,1.44793,1.12381,1.1037,0.49592,0.38075,0.39555,0.23697,1.37419,1.06786,1.0827,0.00873775,0.00873775,0.00873775
53,4914.17,1.4521,1.12333,1.10179,0.48306,0.38885,0.3956,0.23646,1.37223,1.06678,1.08342,0.008713,0.008713,0.008713
54,5006.31,1.449,1.12212,1.10054,0.49891,0.38746,0.39822,0.23744,1.36999,1.06517,1.08102,0.00868825,0.00868825,0.00868825
55,5098.76,1.4441,1.11646,1.09595,0.49167,0.38467,0.39725,0.23907,1.3662,1.06208,1.07901,0.0086635,0.0086635,0.0086635
56,5190.14,1.43746,1.1084,1.09531,0.48885,0.39646,0.40318,0.24133,1.36534,1.05832,1.07707,0.00863875,0.00863875,0.00863875
57,5281.87,1.43469,1.10426,1.09303,0.5012,0.39176,0.40218,0.24053,1.36444,1.05449,1.0771,0.008614,0.008614,0.008614
58,5373.9,1.43817,1.10401,1.09421,0.50647,0.38827,0.4034,0.24084,1.36438,1.05467,1.07636,0.00858925,0.00858925,0.00858925
59,5465.97,1.43726,1.10153,1.09402,0.49917,0.39655,0.407,0.24368,1.36394,1.05211,1.07505,0.0085645,0.0085645,0.0085645
60,5558.05,1.4315,1.09957,1.08943,0.50819,0.39195,0.40879,0.24531,1.3614,1.04894,1.07396,0.00853975,0.00853975,0.00853975
61,5649.94,1.43479,1.10062,1.08851,0.49968,0.39046,0.40663,0.24424,1.35805,1.04763,1.07154,0.008515,0.008515,0.008515
62,5741.97,1.42572,1.08658,1.0865,0.50316,0.39213,0.40489,0.24237,1.35612,1.04365,1.07013,0.00849025,0.00849025,0.00849025
63,5833.13,1.42321,1.08807,1.08484,0.50987,0.39143,0.40779,0.24554,1.35602,1.04107,1.06957,0.0084655,0.0084655,0.0084655
64,5925.23,1.4341,1.09242,1.08592,0.51355,0.39042,0.41179,0.24694,1.35679,1.03828,1.06873,0.00844075,0.00844075,0.00844075
65,6017.45,1.42279,1.08848,1.08288,0.51052,0.39741,0.4137,0.24839,1.35362,1.03883,1.06767,0.008416,0.008416,0.008416
66,6109.12,1.42483,1.08554,1.08295,0.51881,0.39128,0.41091,0.24693,1.35018,1.03985,1.0668,0.00839125,0.00839125,0.00839125
67,6201.11,1.42052,1.08164,1.0808,0.50002,0.39612,0.41146,0.24683,1.35156,1.03598,1.06708,0.0083665,0.0083665,0.0083665
68,6293.12,1.41171,1.07031,1.0786,0.51555,0.39657,0.41243,0.24813,1.35128,1.03446,1.06536,0.00834175,0.00834175,0.00834175
69,6385.18,1.41623,1.07516,1.08022,0.50889,0.39696,0.41301,0.24894,1.34685,1.03287,1.06494,0.008317,0.008317,0.008317
70,6477.65,1.41285,1.07153,1.07702,0.51345,0.40156,0.41754,0.25074,1.34678,1.03263,1.06374,0.00829225,0.00829225,0.00829225
71,6570.02,1.41597,1.06916,1.07702,0.52865,0.39122,0.41718,0.25102,1.34588,1.0284,1.06269,0.0082675,0.0082675,0.0082675
72,6661.4,1.41498,1.0733,1.07562,0.52018,0.39895,0.41828,0.2521,1.34575,1.0286,1.06286,0.00824275,0.00824275,0.00824275
73,6753.96,1.40718,1.06253,1.07619,0.51416,0.40222,0.41606,0.25092,1.34339,1.0259,1.06077,0.008218,0.008218,0.008218
74,6846.05,1.40689,1.06316,1.07197,0.5104,0.40334,0.41822,0.25295,1.34197,1.02387,1.05999,0.00819325,0.00819325,0.00819325
75,6937.87,1.40385,1.05802,1.06836,0.51891,0.40547,0.42003,0.25348,1.34073,1.02186,1.05872,0.0081685,0.0081685,0.0081685
76,7030.03,1.40058,1.05364,1.06801,0.5198,0.40138,0.4212,0.25401,1.34077,1.01867,1.05877,0.00814375,0.00814375,0.00814375
77,7122.59,1.40339,1.05619,1.06907,0.52753,0.3968,0.42098,0.2545,1.33851,1.0178,1.05687,0.008119,0.008119,0.008119
78,7214.83,1.40177,1.05279,1.07027,0.52451,0.40038,0.42357,0.25513,1.34013,1.0174,1.05747,0.00809425,0.00809425,0.00809425
79,7306.84,1.39887,1.04999,1.07045,0.52635,0.40492,0.4258,0.25648,1.33679,1.01526,1.05581,0.0080695,0.0080695,0.0080695
80,7398.82,1.39977,1.04923,1.06635,0.53364,0.40147,0.4243,0.25634,1.33517,1.01549,1.05497,0.00804475,0.00804475,0.00804475
81,7491.05,1.39941,1.04586,1.06592,0.52811,0.40726,0.42684,0.25754,1.33333,1.01335,1.05429,0.00802,0.00802,0.00802
82,7583.2,1.3954,1.04365,1.06556,0.52548,0.40505,0.42707,0.25784,1.33465,1.01383,1.05375,0.00799525,0.00799525,0.00799525
83,7674.95,1.39554,1.03916,1.06385,0.54353,0.40179,0.42725,0.25772,1.33429,1.01169,1.05371,0.0079705,0.0079705,0.0079705
84,7766.51,1.39681,1.04601,1.0631,0.54053,0.40293,0.42777,0.25894,1.3329,1.0106,1.05325,0.00794575,0.00794575,0.00794575
85,7858.15,1.39193,1.03523,1.06398,0.53299,0.40926,0.42831,0.25899,1.33475,1.01109,1.05373,0.007921,0.007921,0.007921
86,7950.73,1.39639,1.0365,1.06409,0.53759,0.4085,0.42846,0.25915,1.33371,1.00751,1.05192,0.00789625,0.00789625,0.00789625
87,8043.05,1.38257,1.0292,1.06009,0.53492,0.40805,0.42818,0.25876,1.33091,1.00596,1.05105,0.0078715,0.0078715,0.0078715
88,8134.71,1.38892,1.03332,1.06208,0.53467,0.40752,0.43156,0.26116,1.33091,1.00396,1.05052,0.00784675,0.00784675,0.00784675
89,8227.66,1.39141,1.03283,1.05919,0.53834,0.4042,0.43266,0.26158,1.32979,1.00215,1.04996,0.007822,0.007822,0.007822
90,8319.68,1.38003,1.02494,1.05775,0.53646,0.40963,0.43239,0.26181,1.3289,1.00195,1.0494,0.00779725,0.00779725,0.00779725
91,8412.08,1.38168,1.02612,1.05842,0.52977,0.41371,0.43235,0.2619,1.32879,1.00014,1.04926,0.0077725,0.0077725,0.0077725
92,8503.5,1.38306,1.0247,1.05733,0.52605,0.41664,0.43323,0.26289,1.32672,0.99838,1.04826,0.00774775,0.00774775,0.00774775
93,8596.36,1.3797,1.02373,1.05426,0.53124,0.41356,0.43438,0.26299,1.3262,0.99702,1.04728,0.007723,0.007723,0.007723
94,8688.62,1.38057,1.0192,1.05342,0.53621,0.41299,0.43516,0.26429,1.32477,0.99548,1.04675,0.00769825,0.00769825,0.00769825
95,8780.45,1.37656,1.01845,1.05348,0.53507,0.41228,0.43439,0.26325,1.3243,0.99535,1.04623,0.0076735,0.0076735,0.0076735
96,8871.84,1.37837,1.01987,1.05697,0.53976,0.40987,0.43487,0.26392,1.32546,0.99505,1.04612,0.00764875,0.00764875,0.00764875
97,8963.88,1.37579,1.01688,1.04923,0.52792,0.41496,0.43512,0.26347,1.32528,0.99471,1.04578,0.007624,0.007624,0.007624
98,9055.85,1.37859,1.01347,1.0514,0.53586,0.4121,0.43596,0.26408,1.32538,0.99476,1.04556,0.00759925,0.00759925,0.00759925
99,9148.02,1.3793,1.01386,1.05093,0.53843,0.41421,0.43732,0.265,1.32441,0.99299,1.0451,0.0075745,0.0075745,0.0075745
100,9239.43,1.36904,1.00529,1.04827,0.52907,0.41892,0.43629,0.26514,1.32361,0.9922,1.04443,0.00754975,0.00754975,0.00754975
101,9331.68,1.37546,1.0072,1.049,0.52694,0.42066,0.43723,0.26585,1.32243,0.99167,1.04413,0.007525,0.007525,0.007525
102,9424.5,1.37431,1.00877,1.0489,0.53411,0.41543,0.43751,0.266,1.32205,0.99059,1.04364,0.00750025,0.00750025,0.00750025
103,9516.43,1.36552,1.00086,1.04809,0.53588,0.41696,0.43765,0.2654,1.32165,0.99114,1.04327,0.0074755,0.0074755,0.0074755
104,9608.02,1.37034,1.00307,1.04807,0.544,0.41369,0.4376,0.26593,1.32174,0.98988,1.04299,0.00745075,0.00745075,0.00745075
105,9699.96,1.36885,1.00352,1.04581,0.5447,0.41622,0.43826,0.2665,1.32071,0.9889,1.04289,0.007426,0.007426,0.007426
106,9791.23,1.37133,0.99987,1.04698,0.54861,0.41406,0.43861,0.26644,1.32111,0.98831,1.04267,0.00740125,0.00740125,0.00740125
107,9883.51,1.36353,0.99536,1.04405,0.5473,0.41397,0.43906,0.26652,1.32118,0.98785,1.04256,0.0073765,0.0073765,0.0073765
108,9974.31,1.36142,0.99716,1.04186,0.54722,0.41319,0.4394,0.26668,1.32089,0.98691,1.04208,0.00735175,0.00735175,0.00735175
109,10066.4,1.36277,0.99448,1.04322,0.53693,0.41736,0.43985,0.26694,1.32016,0.98661,1.0416,0.007327,0.007327,0.007327
