epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.7216,1.81821,2.63579,1.07486,0.44321,0.14585,0.10858,0.0576,1.70537,1.59435,1.03188,0.0033251,0.0033251,0.0033251
2,132.097,1.75571,1.63446,1.04142,0.17726,0.19497,0.13125,0.06837,1.78459,1.52792,1.03532,0.00662548,0.00662548,0.00662548
3,195.417,1.77539,1.55619,1.03334,0.24453,0.18905,0.16003,0.08649,1.66155,1.45997,1.01624,0.00989285,0.00989285,0.00989285
4,258.241,1.75619,1.49876,1.02613,0.27197,0.21356,0.18127,0.09675,1.72435,1.39401,1.01474,0.0098515,0.0098515,0.0098515
5,319.323,1.7174,1.44466,1.01388,0.26803,0.2241,0.1805,0.10201,1.65378,1.38567,0.98761,0.009802,0.009802,0.009802
6,379.956,1.68586,1.39056,1.00061,0.30125,0.21739,0.2026,0.11084,1.64226,1.34582,0.9923,0.0097525,0.0097525,0.0097525
7,441.232,1.64837,1.34989,0.99599,0.31793,0.24101,0.21352,0.11749,1.5846,1.29367,0.98213,0.009703,0.009703,0.009703
8,502.371,1.63359,1.31926,0.98583,0.31848,0.24498,0.21831,0.12107,1.56565,1.25207,0.97128,0.0096535,0.0096535,0.0096535
9,564.089,1.62003,1.30037,0.98446,0.30566,0.24544,0.21945,0.12058,1.59817,1.26106,0.97507,0.009604,0.009604,0.009604
10,627.067,1.60371,1.26899,0.98111,0.32138,0.24628,0.22443,0.12526,1.55481,1.22142,0.9686,0.0095545,0.0095545,0.0095545
11,689.033,1.58271,1.24873,0.97512,0.31988,0.24912,0.22565,0.12714,1.53114,1.21316,0.96703,0.009505,0.009505,0.009505
12,751.874,1.57551,1.23348,0.97328,0.34547,0.25838,0.24046,0.13517,1.50705,1.18513,0.95771,0.0094555,0.0094555,0.0094555
13,816.058,1.57226,1.22,0.97072,0.3123,0.26964,0.23833,0.13363,1.53289,1.20044,0.96109,0.009406,0.009406,0.009406
14,879.509,1.54765,1.19284,0.96413,0.36225,0.27282,0.25712,0.14429,1.49239,1.15612,0.95096,0.0093565,0.0093565,0.0093565
15,942.086,1.55193,1.19226,0.96573,0.33516,0.26965,0.24607,0.14071,1.50572,1.18224,0.94862,0.009307,0.009307,0.009307
16,1004.67,1.54617,1.18542,0.96274,0.33764,0.27175,0.24705,0.13964,1.506,1.16526,0.95102,0.0092575,0.0092575,0.0092575
17,1067.42,1.5277,1.16441,0.9612,0.33079,0.26035,0.2444,0.13927,1.49339,1.16831,0.95514,0.009208,0.009208,0.009208
18,1130.01,1.53837,1.16216,0.95869,0.35826,0.27831,0.26331,0.14971,1.47545,1.13297,0.94636,0.0091585,0.0091585,0.0091585
19,1193.59,1.52272,1.15038,0.95666,0.36418,0.27125,0.26115,0.14977,1.47578,1.12485,0.94124,0.009109,0.009109,0.009109
20,1255.94,1.51516,1.14207,0.95733,0.3551,0.28284,0.25815,0.14565,1.48888,1.13635,0.95441,0.0090595,0.0090595,0.0090595
21,1317.62,1.50979,1.1362,0.9537,0.37234,0.28225,0.26882,0.15276,1.46439,1.11566,0.94417,0.00901,0.00901,0.00901
22,1380.59,1.50466,1.12844,0.95176,0.37302,0.27771,0.26749,0.1517,1.46391,1.11454,0.94161,0.0089605,0.0089605,0.0089605
23,1443.97,1.49951,1.12056,0.94994,0.37063,0.28874,0.27195,0.15548,1.45661,1.11416,0.94018,0.008911,0.008911,0.008911
24,1507.58,1.49354,1.11336,0.94764,0.36165,0.28408,0.27025,0.15311,1.45859,1.11286,0.94447,0.0088615,0.0088615,0.0088615
25,1569.69,1.48034,1.10539,0.94804,0.36802,0.2834,0.26865,0.15235,1.45709,1.10708,0.94004,0.008812,0.008812,0.008812
26,1632.12,1.48825,1.10588,0.94913,0.35718,0.28206,0.26293,0.15149,1.45132,1.11496,0.93793,0.0087625,0.0087625,0.0087625
27,1694.37,1.47703,1.09927,0.94549,0.38276,0.28841,0.27538,0.15805,1.44624,1.09413,0.93443,0.008713,0.008713,0.008713
28,1756.33,1.48034,1.09705,0.94577,0.36478,0.29047,0.27273,0.15645,1.44622,1.08651,0.93596,0.0086635,0.0086635,0.0086635
29,1819.88,1.47648,1.08689,0.94342,0.37994,0.28553,0.27741,0.16007,1.44683,1.09801,0.93658,0.008614,0.008614,0.008614
30,1881.88,1.47412,1.07882,0.94246,0.36828,0.29875,0.28315,0.1614,1.4402,1.08289,0.9348,0.0085645,0.0085645,0.0085645
31,1944.28,1.47509,1.08369,0.94461,0.38527,0.2911,0.28347,0.16252,1.4268,1.08033,0.93455,0.008515,0.008515,0.008515
32,2007.56,1.45793,1.07165,0.93866,0.38996,0.29696,0.28914,0.16803,1.41699,1.07091,0.9293,0.0084655,0.0084655,0.0084655
33,2069.03,1.46125,1.0707,0.93954,0.38131,0.29153,0.28369,0.16336,1.43673,1.07765,0.93323,0.008416,0.008416,0.008416
34,2131.75,1.45683,1.06492,0.93682,0.39839,0.29296,0.28908,0.16644,1.43046,1.06642,0.92947,0.0083665,0.0083665,0.0083665
35,2194.83,1.45423,1.05776,0.93734,0.39596,0.29319,0.2887,0.16512,1.43093,1.07036,0.93398,0.008317,0.008317,0.008317
36,2256.97,1.44979,1.05867,0.93858,0.39572,0.30395,0.2922,0.16946,1.41725,1.06591,0.9303,0.0082675,0.0082675,0.0082675
37,2319.73,1.44979,1.05151,0.93606,0.39794,0.29517,0.28818,0.16652,1.42154,1.07013,0.93258,0.008218,0.008218,0.008218
38,2382.52,1.44853,1.04676,0.93615,0.38857,0.30731,0.29466,0.16946,1.41463,1.05371,0.92829,0.0081685,0.0081685,0.0081685
39,2444.73,1.44471,1.047,0.93407,0.39929,0.30186,0.29341,0.16917,1.41048,1.06091,0.92737,0.008119,0.008119,0.008119
40,2508.35,1.44018,1.04364,0.93506,0.41265,0.29953,0.29348,0.16945,1.40983,1.04916,0.92627,0.0080695,0.0080695,0.0080695
41,2571.43,1.44577,1.04243,0.93393,0.39981,0.30956,0.297,0.17106,1.41506,1.04931,0.92887,0.00802,0.00802,0.00802
42,2634.16,1.43073,1.03212,0.93241,0.39872,0.30207,0.29731,0.16914,1.41155,1.04703,0.92714,0.0079705,0.0079705,0.0079705
43,2696.9,1.42795,1.02964,0.93024,0.38755,0.30368,0.29391,0.16945,1.41479,1.05353,0.92792,0.007921,0.007921,0.007921
44,2760.01,1.42349,1.02286,0.93078,0.40916,0.30532,0.30118,0.17318,1.39957,1.04307,0.92606,0.0078715,0.0078715,0.0078715
45,2823.56,1.43726,1.03054,0.93066,0.40794,0.31056,0.30132,0.17416,1.39678,1.0388,0.92445,0.007822,0.007822,0.007822
