epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.2104,4.99388,1952.18,4.16079,7e-05,0.00023,4e-05,2e-05,4.74422,5.44662,4.44441,0.0033251,0.0033251,0.0033251
2,130.953,4.96206,1901.42,4.15519,0.00185,0.00098,0.00128,0.00047,4.80637,5.42188,4.37231,0.00665837,0.00665837,0.00665837
3,194.292,4.97596,1926.07,4.15223,0.00301,0.00092,0.00157,0.00051,4.76693,5.45632,4.50059,0.00999138,0.00999138,0.00999138
4,256.804,4.95835,1916.41,4.1506,0.00209,0.00132,0.00155,0.00058,4.76219,5.43643,4.45079,0.00999912,0.00999912,0.00999912
5,319.386,4.95928,1949.42,4.14846,0.00554,0.00045,0.00328,0.00133,4.80882,5.40213,4.29719,0.00999844,0.00999844,0.00999844
6,382.539,4.97214,1944.64,4.14688,0.00448,0.0007,0.00272,0.00092,4.79983,5.42521,4.38743,0.00999756,0.00999756,0.00999756
7,445.298,4.94241,1924.21,4.14444,0.00316,0.00196,0.00213,0.00084,4.7717,5.40442,4.34293,0.00999648,0.00999648,0.00999648
8,508.123,4.98021,1944.23,4.14457,0.01337,0.00104,0.00724,0.0032,4.79518,5.40448,4.30786,0.00999521,0.00999521,0.00999521
9,571.086,4.95162,1955.08,4.13378,0.01631,0.00331,0.00889,0.00432,4.82054,5.3281,4.22581,0.00999375,0.00999375,0.00999375
10,635.974,4.79827,1959.58,3.99228,0.31827,0.01661,0.0099,0.00313,3.49383,4.15356,2.14513,0.00999209,0.00999209,0.00999209
11,699.719,2.97257,1370.53,2.06836,0.47769,0.08292,0.06282,0.02911,2.36628,2.19713,1.38399,0.00999023,0.00999023,0.00999023
12,764.215,2.39992,1101.51,1.62498,0.43447,0.1315,0.09303,0.04556,1.98445,1.72068,1.21898,0.00998818,0.00998818,0.00998818
13,828.961,2.17395,1018.92,1.462,0.45558,0.14315,0.11369,0.05835,1.89754,1.62714,1.18068,0.00998594,0.00998594,0.00998594
14,894.151,2.02703,952.054,1.37245,0.3888,0.17381,0.13779,0.07106,1.78903,1.49392,1.13699,0.0099835,0.0099835,0.0099835
15,959.265,1.94757,918.165,1.32871,0.30834,0.18074,0.15232,0.08123,1.72792,1.41203,1.12038,0.00998086,0.00998086,0.00998086
16,1024.26,1.87489,890.505,1.28832,0.2376,0.19729,0.16663,0.08966,1.66177,1.3646,1.08757,0.00997803,0.00997803,0.00997803
17,1088.9,1.80324,864.338,1.25785,0.23523,0.21447,0.17649,0.09439,1.64582,1.33331,1.08285,0.00997501,0.00997501,0.00997501
18,1154.05,1.76875,849.745,1.22624,0.25091,0.23489,0.19576,0.10681,1.55435,1.26177,1.05248,0.00997179,0.00997179,0.00997179
19,1219.54,1.72405,830.998,1.20987,0.27665,0.23182,0.20524,0.11324,1.54793,1.25877,1.05577,0.00996838,0.00996838,0.00996838
20,1284.12,1.68644,813.715,1.19521,0.29657,0.24863,0.21288,0.1182,1.51845,1.20406,1.04059,0.00996477,0.00996477,0.00996477
21,1348.38,1.65476,811.334,1.17613,0.30879,0.25169,0.22733,0.12793,1.48787,1.18695,1.03597,0.00996097,0.00996097,0.00996097
22,1412.55,1.62405,798.023,1.15694,0.32327,0.2578,0.2359,0.13286,1.47603,1.16737,1.03144,0.00995697,0.00995697,0.00995697
23,1476.39,1.60374,779.101,1.14659,0.32464,0.27375,0.24588,0.13793,1.46782,1.13794,1.02196,0.00995278,0.00995278,0.00995278
