epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.1083,1.32064,0.95982,0.95178,0.51698,0.41545,0.42277,0.25454,1.38875,1.08372,0.98224,0.0003,0.0003,0.0003
2,106.138,1.31704,0.95118,0.94987,0.5079,0.4143,0.41601,0.25086,1.39579,1.09537,0.98464,0.000299707,0.000299707,0.000299707
3,159.331,1.31604,0.94897,0.94974,0.51813,0.40595,0.41968,0.25314,1.39025,1.08714,0.97872,0.000298829,0.000298829,0.000298829
4,212.744,1.31542,0.94998,0.94974,0.51416,0.40893,0.41873,0.25164,1.39226,1.09054,0.98314,0.00029737,0.00029737,0.00029737
5,265.755,1.31598,0.94803,0.94976,0.53235,0.40864,0.42508,0.25493,1.38625,1.08397,0.98164,0.000295335,0.000295335,0.000295335
6,319.193,1.31403,0.94588,0.94967,0.5184,0.41539,0.42524,0.25349,1.39482,1.08085,0.98108,0.000292732,0.000292732,0.000292732
7,372.286,1.31518,0.94228,0.95002,0.51702,0.40822,0.41821,0.2516,1.3992,1.09797,0.98297,0.000289572,0.000289572,0.000289572
8,425.633,1.31264,0.9443,0.94935,0.51045,0.41058,0.41688,0.25159,1.38713,1.08096,0.97959,0.000285867,0.000285867,0.000285867
9,478.905,1.31166,0.93975,0.94918,0.52599,0.40775,0.41977,0.25444,1.38494,1.08157,0.97899,0.000281632,0.000281632,0.000281632
10,532.228,1.30884,0.93923,0.94859,0.51415,0.40927,0.41521,0.24942,1.39037,1.08957,0.98024,0.000276883,0.000276883,0.000276883
11,585.209,1.31037,0.93954,0.94773,0.52194,0.4128,0.42094,0.25166,1.39116,1.08921,0.98129,0.000271639,0.000271639,0.000271639
12,638.372,1.30923,0.93853,0.94784,0.5133,0.41004,0.41783,0.2505,1.39487,1.08317,0.98062,0.000265921,0.000265921,0.000265921
13,691.928,1.30615,0.93539,0.94691,0.51991,0.41491,0.42159,0.25259,1.39555,1.08376,0.98258,0.000259752,0.000259752,0.000259752
14,745.142,1.30908,0.93601,0.9491,0.52595,0.40873,0.42249,0.25501,1.38341,1.0772,0.98113,0.000253155,0.000253155,0.000253155
15,798.328,1.30447,0.93337,0.94792,0.5341,0.41369,0.42274,0.25548,1.38757,1.07989,0.98155,0.000246157,0.000246157,0.000246157
16,852.028,1.30459,0.93241,0.94667,0.52542,0.41011,0.42455,0.25544,1.38649,1.08331,0.98019,0.000238786,0.000238786,0.000238786
17,905.335,1.30414,0.93118,0.94611,0.52271,0.41478,0.4264,0.25693,1.38225,1.07405,0.9791,0.00023107,0.00023107,0.00023107
18,958.961,1.29818,0.92591,0.94631,0.51002,0.42072,0.42177,0.25493,1.38691,1.07988,0.98008,0.00022304,0.00022304,0.00022304
19,1012.11,1.30168,0.92628,0.94626,0.52223,0.41427,0.4206,0.25361,1.38633,1.07581,0.97994,0.000214728,0.000214728,0.000214728
20,1065.57,1.30102,0.92565,0.94739,0.51835,0.41794,0.42327,0.25572,1.38597,1.07821,0.98195,0.000206166,0.000206166,0.000206166
21,1118.7,1.2973,0.92242,0.94529,0.51576,0.41482,0.42301,0.25471,1.38681,1.07627,0.97995,0.000197389,0.000197389,0.000197389
22,1171.86,1.29667,0.92156,0.94548,0.52281,0.40931,0.42003,0.25352,1.38832,1.07857,0.98051,0.00018843,0.00018843,0.00018843
23,1225.04,1.29357,0.92008,0.94391,0.52042,0.41281,0.419,0.25226,1.39202,1.07989,0.98154,0.000179326,0.000179326,0.000179326
24,1278.13,1.29212,0.91548,0.94375,0.52829,0.41457,0.42215,0.25491,1.38301,1.07452,0.98013,0.000170112,0.000170112,0.000170112
25,1331,1.29393,0.91725,0.94585,0.52841,0.41334,0.42326,0.25527,1.38218,1.07371,0.98054,0.000160824,0.000160824,0.000160824
26,1384.3,1.29387,0.91635,0.94465,0.53625,0.41121,0.42449,0.25584,1.38242,1.07509,0.98057,0.0001515,0.0001515,0.0001515
27,1437.47,1.28881,0.91094,0.9426,0.51793,0.41283,0.42007,0.25306,1.38946,1.07823,0.98173,0.000142176,0.000142176,0.000142176
28,1490.8,1.29039,0.9126,0.94487,0.52639,0.41565,0.42294,0.25421,1.38832,1.07571,0.98169,0.000132888,0.000132888,0.000132888
29,1544.11,1.28625,0.90855,0.94327,0.52013,0.41597,0.42185,0.25493,1.38898,1.07689,0.98166,0.000123674,0.000123674,0.000123674
30,1598.04,1.29051,0.9105,0.94385,0.52108,0.42015,0.42442,0.25596,1.38222,1.06978,0.9791,0.00011457,0.00011457,0.00011457
31,1651.35,1.28791,0.90997,0.94296,0.5207,0.41819,0.42585,0.25766,1.37977,1.07059,0.98002,0.000105611,0.000105611,0.000105611
32,1705.15,1.28362,0.90443,0.94262,0.52023,0.41864,0.42581,0.25759,1.38,1.06809,0.97904,9.68335e-05,9.68335e-05,9.68335e-05
33,1758.6,1.28233,0.90119,0.94085,0.53103,0.41659,0.42754,0.25849,1.37971,1.06678,0.97976,8.82718e-05,8.82718e-05,8.82718e-05
34,1812.45,1.28148,0.90282,0.94092,0.52714,0.41567,0.42733,0.25813,1.38244,1.07055,0.97994,7.99596e-05,7.99596e-05,7.99596e-05
35,1866.84,1.28474,0.90337,0.94207,0.52716,0.41383,0.42408,0.25569,1.38779,1.07369,0.98044,7.19297e-05,7.19297e-05,7.19297e-05
36,1920.73,1.28266,0.90098,0.94185,0.52925,0.4174,0.42651,0.25629,1.3843,1.0713,0.98031,6.42139e-05,6.42139e-05,6.42139e-05
37,1973.73,1.27848,0.89863,0.9414,0.53246,0.41164,0.42545,0.25701,1.38296,1.06862,0.97985,5.68425e-05,5.68425e-05,5.68425e-05
38,2027.03,1.27754,0.89786,0.94077,0.52291,0.41857,0.42376,0.25591,1.38165,1.0721,0.97953,4.98448e-05,4.98448e-05,4.98448e-05
39,2081.07,1.27663,0.89753,0.94023,0.52814,0.4143,0.42586,0.25701,1.38104,1.07042,0.97915,4.32482e-05,4.32482e-05,4.32482e-05
40,2135.33,1.27632,0.89491,0.9395,0.52176,0.41955,0.42649,0.25721,1.38227,1.06854,0.97993,3.70788e-05,3.70788e-05,3.70788e-05
41,2189.46,1.27726,0.89471,0.93942,0.5307,0.41496,0.42658,0.2569,1.38593,1.06916,0.98031,3.1361e-05,3.1361e-05,3.1361e-05
42,2243.14,1.27598,0.89444,0.94014,0.52849,0.4142,0.42451,0.25571,1.3834,1.07044,0.97979,2.61173e-05,2.61173e-05,2.61173e-05
43,2297.05,1.27542,0.89453,0.94037,0.53687,0.41063,0.42447,0.25609,1.38233,1.0704,0.97991,2.13685e-05,2.13685e-05,2.13685e-05
44,2350.37,1.27738,0.89331,0.94096,0.52597,0.41568,0.42555,0.2569,1.38081,1.06849,0.97973,1.71332e-05,1.71332e-05,1.71332e-05
45,2403.54,1.27707,0.89461,0.93908,0.53002,0.41245,0.42504,0.25627,1.38166,1.07034,0.97956,1.34282e-05,1.34282e-05,1.34282e-05
46,2457.09,1.27493,0.89332,0.93938,0.53208,0.41391,0.42586,0.25733,1.38103,1.0685,0.9794,1.02681e-05,1.02681e-05,1.02681e-05
47,2510.43,1.27472,0.89183,0.93955,0.53274,0.41248,0.42559,0.25693,1.38103,1.06923,0.9795,7.6654e-06,7.6654e-06,7.6654e-06
48,2563.92,1.27375,0.89203,0.93906,0.53193,0.41154,0.42528,0.25665,1.38159,1.06977,0.97939,5.63034e-06,5.63034e-06,5.63034e-06
49,2617.22,1.2746,0.89225,0.93966,0.52896,0.41446,0.42578,0.25709,1.38102,1.06854,0.97946,4.17097e-06,4.17097e-06,4.17097e-06
50,2671.66,1.27183,0.89035,0.93976,0.53118,0.41231,0.42539,0.25701,1.37958,1.06884,0.97882,3.29303e-06,3.29303e-06,3.29303e-06
