epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9209,4.25594,6.4774,4.3543,0,0,0,0,5.04432,5.70824,4.26586,0.000647059,0.000647059,0.000647059
2,28.1947,2.98402,3.87549,3.14735,0,0,0,0,5.21816,5.04119,4.73086,0.00131112,0.00131112,0.00131112
3,41.3786,2.53,2.98904,2.46521,0.00069,0.03896,0.00538,0.00221,3.60165,4.50182,3.49801,0.00197255,0.00197255,0.00197255
4,54.7007,2.33429,2.6548,2.22777,0.44623,0.39935,0.35821,0.13712,2.43632,2.64167,2.21264,0.00198812,0.00198812,0.00198812
5,67.9634,2.25547,2.41905,2.07243,0.51362,0.43029,0.39314,0.1648,2.36352,2.52176,2.12737,0.00198416,0.00198416,0.00198416
6,81.3557,2.16969,2.23958,1.95988,0.57019,0.44156,0.42994,0.18779,2.19393,2.22234,1.95917,0.0019802,0.0019802,0.0019802
7,94.5777,2.08114,2.13943,1.86791,0.58582,0.40584,0.4266,0.17848,2.28463,2.09969,1.96534,0.00197624,0.00197624,0.00197624
8,107.659,2.01582,2.02485,1.82531,0.61054,0.43344,0.48517,0.21416,2.15247,2.29801,1.89477,0.00197228,0.00197228,0.00197228
9,120.895,2.01829,1.96531,1.80763,0.58788,0.50487,0.49647,0.21461,2.14709,2.31236,1.87265,0.00196832,0.00196832,0.00196832
10,134.055,1.98934,1.91623,1.78673,0.61697,0.4513,0.48072,0.24172,2.05862,1.91699,1.80452,0.00196436,0.00196436,0.00196436
11,147.224,1.96025,1.87779,1.73537,0.6293,0.49838,0.50715,0.24842,2.00242,1.94403,1.75426,0.0019604,0.0019604,0.0019604
12,160.463,1.90118,1.79759,1.70676,0.64256,0.50974,0.52473,0.24372,2.09804,1.91878,1.7986,0.00195644,0.00195644,0.00195644
13,173.456,1.89342,1.76013,1.71681,0.67215,0.50922,0.55094,0.23477,2.15471,1.78333,1.80174,0.00195248,0.00195248,0.00195248
14,186.513,1.91216,1.72616,1.71485,0.71957,0.51948,0.58012,0.26302,2.09751,1.78327,1.79548,0.00194852,0.00194852,0.00194852
15,199.665,1.89494,1.68881,1.67975,0.65807,0.53247,0.54718,0.22912,2.2525,1.83336,1.88259,0.00194456,0.00194456,0.00194456
16,212.523,1.83607,1.64062,1.65366,0.69547,0.54869,0.6024,0.30436,1.9553,1.70986,1.68883,0.0019406,0.0019406,0.0019406
17,225.7,1.8713,1.61698,1.63021,0.73657,0.53084,0.60207,0.26144,2.08939,1.81833,1.76536,0.00193664,0.00193664,0.00193664
18,238.69,1.81529,1.56948,1.60758,0.68359,0.55414,0.59123,0.27133,2.07651,1.83502,1.77784,0.00193268,0.00193268,0.00193268
