epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.906,3.6517,4.08649,3.3658,0.03064,0.07476,0.02831,0.00997,2.99305,2.90024,2.34506,0.0033251,0.0033251,0.0033251
2,237.169,2.67832,2.83592,2.14643,0.05366,0.14785,0.07165,0.02902,2.4638,2.36926,1.79827,0.00664525,0.00664525,0.00664525
3,320.981,2.35827,2.48204,1.78932,0.19272,0.16707,0.09222,0.04149,2.22443,2.1483,1.62068,0.0099522,0.0099522,0.0099522
4,402.425,2.17298,2.22867,1.62822,0.27295,0.16671,0.13109,0.06034,2.1237,1.83919,1.53913,0.0099406,0.0099406,0.0099406
5,482.114,2.04441,2.05011,1.53332,0.18953,0.20018,0.15308,0.07122,2.04409,1.7495,1.47926,0.0099208,0.0099208,0.0099208
6,561.367,1.97681,1.92053,1.48286,0.23379,0.20223,0.16606,0.07403,2.09183,1.67581,1.49871,0.009901,0.009901,0.009901
7,641.444,1.93394,1.83438,1.44758,0.2616,0.23544,0.19566,0.09274,1.98274,1.62226,1.42863,0.0098812,0.0098812,0.0098812
8,719.252,1.88631,1.76388,1.41941,0.27397,0.244,0.20702,0.09404,2.04596,1.54946,1.44504,0.0098614,0.0098614,0.0098614
9,798.577,1.85598,1.70462,1.39599,0.26942,0.25699,0.22094,0.10645,1.89923,1.55768,1.37584,0.0098416,0.0098416,0.0098416
10,877.662,1.84072,1.66007,1.38152,0.32079,0.26576,0.24094,0.11727,1.88359,1.45681,1.36507,0.0098218,0.0098218,0.0098218
11,955.941,1.81036,1.62291,1.36921,0.33584,0.27772,0.25105,0.12568,1.8448,1.43016,1.33993,0.009802,0.009802,0.009802
12,1034.69,1.77736,1.57817,1.34566,0.32735,0.28032,0.25226,0.12311,1.89494,1.45941,1.35586,0.0097822,0.0097822,0.0097822
13,1113.74,1.76374,1.56116,1.33402,0.36246,0.28229,0.26056,0.12221,1.97294,1.45261,1.39999,0.0097624,0.0097624,0.0097624
14,1192.65,1.74225,1.53338,1.32063,0.36766,0.28796,0.26836,0.11818,2.08153,1.46384,1.45183,0.0097426,0.0097426,0.0097426
15,1270.7,1.72138,1.50669,1.30496,0.36326,0.30386,0.28435,0.12944,2.03027,1.42519,1.41767,0.0097228,0.0097228,0.0097228
16,1349.07,1.71176,1.48962,1.29914,0.38122,0.30367,0.28729,0.131,2.01317,1.40499,1.38875,0.009703,0.009703,0.009703
17,1428.27,1.71074,1.48096,1.28922,0.38295,0.30126,0.28519,0.12581,2.06793,1.44245,1.41758,0.0096832,0.0096832,0.0096832
18,1506.64,1.70794,1.47053,1.27928,0.39144,0.31184,0.29892,0.13913,1.96793,1.38031,1.3571,0.0096634,0.0096634,0.0096634
19,1585.69,1.69718,1.46083,1.26732,0.40454,0.32116,0.30862,0.15308,1.86234,1.34168,1.30491,0.0096436,0.0096436,0.0096436
20,1664.41,1.68628,1.43687,1.2603,0.40481,0.32704,0.31209,0.15337,1.85591,1.33361,1.29023,0.0096238,0.0096238,0.0096238
21,1744.12,1.67895,1.43459,1.25387,0.40495,0.33233,0.31952,0.17216,1.65805,1.30661,1.21248,0.009604,0.009604,0.009604
22,1822.82,1.67596,1.42699,1.24894,0.41867,0.33256,0.32198,0.1558,1.89034,1.33196,1.30125,0.0095842,0.0095842,0.0095842
23,1901.6,1.6649,1.40555,1.24035,0.42389,0.33461,0.32976,0.17696,1.65914,1.26758,1.20304,0.0095644,0.0095644,0.0095644
24,1979.6,1.64558,1.38216,1.23229,0.4227,0.33068,0.32764,0.18159,1.5996,1.26497,1.18226,0.0095446,0.0095446,0.0095446
25,2101.9,1.65379,1.38977,1.23475,0.42152,0.33608,0.33208,0.18493,1.5761,1.25133,1.17411,0.0095248,0.0095248,0.0095248
26,2181.01,1.64274,1.38415,1.22581,0.4361,0.34653,0.33889,0.18703,1.57231,1.23483,1.16574,0.009505,0.009505,0.009505
27,2259.72,1.64177,1.37412,1.22539,0.41599,0.35138,0.34212,0.18898,1.57721,1.23363,1.16766,0.0094852,0.0094852,0.0094852
28,2339.41,1.63517,1.36361,1.21735,0.43208,0.35322,0.34175,0.18939,1.56547,1.22143,1.16061,0.0094654,0.0094654,0.0094654
29,2417.9,1.62562,1.35407,1.21376,0.43166,0.33948,0.339,0.19164,1.54728,1.23222,1.15399,0.0094456,0.0094456,0.0094456
30,2496.68,1.62345,1.34444,1.21385,0.43965,0.34371,0.34148,0.19238,1.53687,1.21931,1.1445,0.0094258,0.0094258,0.0094258
31,2574.88,1.61549,1.33903,1.21022,0.44039,0.35919,0.35346,0.19994,1.5279,1.20271,1.14371,0.009406,0.009406,0.009406
32,2653.69,1.60568,1.32797,1.20145,0.44735,0.35287,0.35382,0.19829,1.54009,1.20466,1.14444,0.0093862,0.0093862,0.0093862
33,2731.59,1.60817,1.32823,1.2051,0.45126,0.35353,0.35238,0.19893,1.53117,1.20303,1.1449,0.0093664,0.0093664,0.0093664
34,2809.65,1.60202,1.31725,1.19777,0.45758,0.35536,0.36127,0.20592,1.51643,1.18853,1.13654,0.0093466,0.0093466,0.0093466
35,2888.48,1.598,1.30747,1.1933,0.45495,0.35655,0.36315,0.20493,1.54232,1.19353,1.14446,0.0093268,0.0093268,0.0093268
36,2967.04,1.58617,1.29965,1.19271,0.45269,0.35994,0.3588,0.20415,1.52286,1.18541,1.13743,0.009307,0.009307,0.009307
37,3045.77,1.59127,1.29267,1.1844,0.45717,0.36185,0.36096,0.20467,1.52512,1.17804,1.13842,0.0092872,0.0092872,0.0092872
38,3124.1,1.58304,1.2907,1.18831,0.46598,0.36322,0.36509,0.20418,1.54256,1.19462,1.13702,0.0092674,0.0092674,0.0092674
