epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.706,3.63891,4.08801,3.36672,0.34851,0.05531,0.027,0.00966,2.93932,2.7969,2.31028,0.00332819,0.00332819,0.00332819
2,208.907,2.64215,2.77752,2.11156,0.19141,0.11818,0.07314,0.02856,2.53474,2.24601,1.86667,0.00664833,0.00664833,0.00664833
3,306.175,2.33754,2.44287,1.78454,0.22248,0.13546,0.09423,0.03845,2.35787,2.02221,1.73856,0.00995528,0.00995528,0.00995528
4,402.78,2.15778,2.2112,1.63008,0.16747,0.17716,0.13091,0.06269,2.0868,1.8393,1.53646,0.0099406,0.0099406,0.0099406
5,497.474,2.04868,2.0425,1.5451,0.18111,0.18096,0.14311,0.07156,1.97569,1.72478,1.46069,0.0099208,0.0099208,0.0099208
6,592.593,1.97039,1.93043,1.49327,0.22425,0.21505,0.1732,0.08014,2.02799,1.66227,1.47444,0.009901,0.009901,0.009901
7,687.513,1.92895,1.83142,1.45314,0.28952,0.22267,0.19441,0.09117,2.00876,1.58087,1.46901,0.0098812,0.0098812,0.0098812
8,782.219,1.89091,1.76621,1.43056,0.27629,0.23528,0.20876,0.10606,1.82146,1.51776,1.36706,0.0098614,0.0098614,0.0098614
9,879.262,1.85642,1.71484,1.40764,0.32882,0.25235,0.23478,0.11551,1.88018,1.48178,1.37776,0.0098416,0.0098416,0.0098416
10,973.684,1.83052,1.66141,1.39311,0.31358,0.26238,0.24041,0.11918,1.86494,1.44604,1.37174,0.0098218,0.0098218,0.0098218
11,1069.06,1.8091,1.62622,1.3745,0.32203,0.27868,0.24702,0.11933,1.90946,1.41519,1.38387,0.009802,0.009802,0.009802
12,1164.98,1.79485,1.59814,1.36185,0.34661,0.2848,0.26463,0.13104,1.82568,1.38925,1.34412,0.0097822,0.0097822,0.0097822
13,1259.64,1.77873,1.57006,1.3552,0.35953,0.29151,0.27085,0.13277,1.88032,1.37446,1.36371,0.0097624,0.0097624,0.0097624
14,1355.04,1.76451,1.54268,1.33626,0.37443,0.29713,0.2809,0.1362,1.86172,1.37561,1.35448,0.0097426,0.0097426,0.0097426
15,1450.89,1.74593,1.52213,1.32725,0.38166,0.29822,0.28899,0.14928,1.71596,1.32064,1.28545,0.0097228,0.0097228,0.0097228
16,1546.4,1.7157,1.4999,1.31284,0.39048,0.31586,0.29874,0.1555,1.7072,1.31721,1.26879,0.009703,0.009703,0.009703
17,1640.82,1.71716,1.49005,1.29991,0.38586,0.30946,0.29543,0.16098,1.61266,1.29955,1.22593,0.0096832,0.0096832,0.0096832
18,1734.87,1.71588,1.48328,1.29566,0.39733,0.31837,0.30907,0.16329,1.68224,1.29846,1.24748,0.0096634,0.0096634,0.0096634
19,1829.96,1.70607,1.46431,1.28404,0.40809,0.31849,0.31308,0.16909,1.62442,1.29419,1.21626,0.0096436,0.0096436,0.0096436
20,1924.52,1.68929,1.45026,1.28062,0.42651,0.31712,0.31651,0.17279,1.60213,1.26761,1.20537,0.0096238,0.0096238,0.0096238
21,2018.57,1.68928,1.44014,1.26878,0.43018,0.32292,0.32451,0.18033,1.56587,1.24795,1.19088,0.009604,0.009604,0.009604
22,2113.45,1.67634,1.43066,1.261,0.41694,0.32851,0.32221,0.17873,1.56831,1.24118,1.18826,0.0095842,0.0095842,0.0095842
23,2208.37,1.66895,1.41836,1.25843,0.42132,0.32675,0.327,0.18125,1.5495,1.24404,1.17979,0.0095644,0.0095644,0.0095644
24,2302.23,1.66228,1.41087,1.24764,0.43093,0.32537,0.32843,0.1824,1.54661,1.231,1.17688,0.0095446,0.0095446,0.0095446
25,2397.04,1.65729,1.39885,1.24583,0.42591,0.33677,0.33095,0.1862,1.53816,1.23318,1.16838,0.0095248,0.0095248,0.0095248
26,2490.39,1.64707,1.38463,1.23958,0.43917,0.3362,0.33027,0.18589,1.54351,1.22263,1.16542,0.009505,0.009505,0.009505
27,2584.77,1.64283,1.37907,1.23825,0.43165,0.34504,0.34135,0.19215,1.54209,1.21773,1.16883,0.0094852,0.0094852,0.0094852
28,2679.47,1.64244,1.37118,1.23274,0.42974,0.34207,0.33668,0.19014,1.53479,1.20979,1.16489,0.0094654,0.0094654,0.0094654
29,2773.69,1.62409,1.35747,1.22704,0.43306,0.34209,0.33925,0.18922,1.54204,1.20667,1.16761,0.0094456,0.0094456,0.0094456
30,2868.4,1.6238,1.34846,1.22555,0.45864,0.34329,0.34945,0.19231,1.56844,1.1964,1.17483,0.0094258,0.0094258,0.0094258
31,2962.71,1.6144,1.38136,1.22469,0.44205,0.34455,0.34878,0.20019,1.49839,1.19012,1.1495,0.009406,0.009406,0.009406
32,3056.52,1.61151,1.33598,1.21743,0.42898,0.35281,0.34777,0.19764,1.49806,1.18399,1.14951,0.0093862,0.0093862,0.0093862
33,3151.14,1.6182,1.33467,1.21768,0.45067,0.35114,0.35635,0.20392,1.50337,1.17375,1.14731,0.0093664,0.0093664,0.0093664
34,3245.12,1.60347,1.32618,1.21452,0.46755,0.3549,0.35718,0.2022,1.49962,1.16705,1.1447,0.0093466,0.0093466,0.0093466
35,3339.45,1.59873,1.31702,1.21214,0.4494,0.36289,0.35918,0.20601,1.48496,1.1613,1.14086,0.0093268,0.0093268,0.0093268
36,3433.51,1.59567,1.31099,1.20769,0.45002,0.36309,0.35909,0.20677,1.47937,1.16213,1.1357,0.009307,0.009307,0.009307
37,3528.55,1.59488,1.30211,1.20496,0.45964,0.3607,0.36425,0.20833,1.50028,1.16765,1.13983,0.0092872,0.0092872,0.0092872
38,3621.71,1.59031,1.30226,1.20439,0.46463,0.36222,0.36518,0.2106,1.48134,1.15029,1.1341,0.0092674,0.0092674,0.0092674
39,3715.49,1.59019,1.29928,1.19804,0.45675,0.35966,0.36005,0.20502,1.49346,1.16532,1.13685,0.0092476,0.0092476,0.0092476
40,3809.46,1.58676,1.28748,1.19703,0.46201,0.36772,0.37016,0.21339,1.46487,1.13679,1.1283,0.0092278,0.0092278,0.0092278
41,3904.16,1.58233,1.2947,1.1986,0.46638,0.37494,0.37525,0.21321,1.47642,1.13949,1.12883,0.009208,0.009208,0.009208
42,3997.61,1.5817,1.2822,1.19231,0.47999,0.37428,0.37669,0.21661,1.46901,1.13722,1.12688,0.0091882,0.0091882,0.0091882
43,4090.67,1.57435,1.27843,1.19159,0.47082,0.36785,0.37358,0.21499,1.47216,1.13254,1.12645,0.0091684,0.0091684,0.0091684
44,4184.52,1.56886,1.27277,1.1875,0.47507,0.37341,0.37701,0.21839,1.46772,1.1261,1.12368,0.0091486,0.0091486,0.0091486
45,4278.49,1.56918,1.26177,1.18551,0.48163,0.37214,0.38029,0.21843,1.46423,1.12376,1.12045,0.0091288,0.0091288,0.0091288
46,4371.9,1.56098,1.26102,1.18473,0.46936,0.37696,0.37696,0.21559,1.46191,1.12048,1.12063,0.009109,0.009109,0.009109
47,4466.48,1.56616,1.25805,1.18322,0.47862,0.37379,0.38182,0.2202,1.4574,1.11914,1.11751,0.0090892,0.0090892,0.0090892
48,4560.7,1.55938,1.25068,1.18039,0.48451,0.3799,0.38704,0.2217,1.4514,1.1143,1.11605,0.0090694,0.0090694,0.0090694
49,4653.31,1.55002,1.24521,1.17745,0.48456,0.38093,0.38877,0.22562,1.43595,1.10923,1.10888,0.0090496,0.0090496,0.0090496
50,4748.32,1.56055,1.24662,1.17582,0.48486,0.38555,0.39194,0.2257,1.44179,1.10284,1.10927,0.0090298,0.0090298,0.0090298
51,4842.77,1.55232,1.2406,1.17613,0.47669,0.38454,0.38997,0.2252,1.44554,1.10382,1.11117,0.00901,0.00901,0.00901
52,4935.74,1.55199,1.24062,1.17647,0.49529,0.37895,0.3921,0.22526,1.43922,1.10129,1.10728,0.0089902,0.0089902,0.0089902
53,5029.04,1.55462,1.24305,1.17349,0.48601,0.38125,0.39054,0.22533,1.44251,1.10155,1.1087,0.0089704,0.0089704,0.0089704
54,5122.66,1.55353,1.23715,1.17312,0.48652,0.38825,0.39451,0.22668,1.44758,1.09835,1.10857,0.0089506,0.0089506,0.0089506
55,5216.24,1.54472,1.23321,1.17035,0.49698,0.38438,0.39709,0.23027,1.43392,1.09448,1.10301,0.0089308,0.0089308,0.0089308
